Dataset	Accuracy	HammingLoss	Coverage	RankingLoss	Avgprecisionmacro	Avgprecisionmicro	ROCAUC	f1scoremicro	Recallmicro	f1scoremacro	Recallmacro
classif20x20week_callin	[0.275, 0.3902439024390244, 0.3333333333333333, 0.275, 0.4418604651162791, 0.18421052631578946, 0.3076923076923077, 0.2, 0.21052631578947367, 0.35714285714285715]	[0.27, 0.2682926829268293, 0.2205128205128205, 0.265, 0.22790697674418606, 0.29473684210526313, 0.24102564102564103, 0.28, 0.23684210526315788, 0.24285714285714285]	[3.175, 3.1463414634146343, 2.923076923076923, 3.1, 2.813953488372093, 3.3421052631578947, 3.076923076923077, 3.125, 3.0526315789473686, 2.9285714285714284]	[0.2583333333333333, 0.27235772357723576, 0.1987179487179487, 0.24166666666666664, 0.2054263565891473, 0.33771929824561403, 0.23504273504273507, 0.24375, 0.2456140350877193, 0.19642857142857142]	[0.7550751045183665, 0.6836149112771646, 0.7218484528041131, 0.8058603588605218, 0.7539583160369542, 0.6829098283590993, 0.780069618757399, 0.771384165462276, 0.6855365495290136, 0.7573585938127678]	[0.6818192695636245, 0.6367697402317897, 0.6888823966185543, 0.7036897539408288, 0.707552319019232, 0.5935245599985342, 0.6905266450731992, 0.6942572472013905, 0.6620089365571846, 0.6674892101620347]	[0.7706763139382976, 0.7591049980627663, 0.8108137276063025, 0.7793054997992774, 0.8235554767812832, 0.6758796758796759, 0.7912310646468956, 0.7648534725010037, 0.7602946099765651, 0.8105282465150404]	0.360207015526	0.383333333333	0.679245283019	0.574468085106
classif20x20week_callout	[0.45, 0.3333333333333333, 0.5, 0.34146341463414637, 0.3488372093023256, 0.38461538461538464, 0.3684210526315789, 0.36585365853658536, 0.45, 0.41025641025641024]	[0.22, 0.23076923076923078, 0.195, 0.2682926829268293, 0.26976744186046514, 0.20512820512820512, 0.24210526315789474, 0.18536585365853658, 0.215, 0.21025641025641026]	[2.975, 3.051282051282051, 2.825, 3.1463414634146343, 3.046511627906977, 2.923076923076923, 2.9210526315789473, 2.8536585365853657, 2.925, 2.948717948717949]	[0.19166666666666665, 0.19658119658119658, 0.14166666666666666, 0.21951219512195122, 0.19573643410852712, 0.15384615384615383, 0.18421052631578946, 0.13821138211382117, 0.1625, 0.1623931623931624]	[0.7904145235988749, 0.8158396356063952, 0.6614527413775744, 0.8034122903486285, 0.6985686215716813, 0.694382407728891, 0.7056745586133383, 0.7597362688444071, 0.8509437346643415, 0.8036398235450004]	[0.8693278852683303, 0.8141912006608539, 0.8715119183834737, 0.8411552625863103, 0.8022431536144128, 0.8665580582785464, 0.8497825602845905, 0.8655840109655316, 0.8761029758373972, 0.8883320978182319]	[0.8747474747474747, 0.8549178579048431, 0.8812632857576678, 0.8405337941628264, 0.8326086956521739, 0.8767224931100276, 0.8568854858687084, 0.8918970814132103, 0.8776086299022079, 0.8865474670072371]	0.503169554964	0.550183150183	0.751515151515	0.712643678161
classif20x20week_internet	[0.325, 0.41025641025641024, 0.3902439024390244, 0.3333333333333333, 0.39473684210526316, 0.375, 0.425, 0.25, 0.375, 0.35]	[0.26, 0.2358974358974359, 0.25365853658536586, 0.2714285714285714, 0.23157894736842105, 0.225, 0.235, 0.305, 0.28, 0.265]	[3.15, 3.1025641025641026, 3.1463414634146343, 3.0476190476190474, 3.0789473684210527, 2.925, 2.975, 3.225, 3.2, 3.1]	[0.20833333333333331, 0.2051282051282051, 0.19512195121951217, 0.21825396825396823, 0.16228070175438594, 0.1958333333333333, 0.18333333333333332, 0.23125, 0.23333333333333334, 0.20625]	[0.652166844140238, 0.6476213423432928, 0.6669772834211912, 0.5865310037544003, 0.670871208735792, 0.6207061885489963, 0.6765587509945454, 0.5438576100847825, 0.6172039735798516, 0.5591044698049482]	[0.8081129573009965, 0.8160641781870888, 0.8374244560590186, 0.8044501842198208, 0.8825370706792521, 0.8269898569562627, 0.8518174422989696, 0.7590687733103691, 0.8032126357944205, 0.8005821212521028]	[0.8267970561548543, 0.835142613878246, 0.8304696449026345, 0.8165112198725645, 0.8711111111111111, 0.8397611094240309, 0.8496376811594203, 0.7919845387040994, 0.8063312833955036, 0.8171154630762955]	0.462644398845	0.498201798202	0.686390532544	0.674418604651
classif20x20week_smsin	[0.5121951219512195, 0.39473684210526316, 0.38095238095238093, 0.43902439024390244, 0.4594594594594595, 0.3902439024390244, 0.2926829268292683, 0.3170731707317073, 0.39473684210526316, 0.35]	[0.21951219512195122, 0.24210526315789474, 0.22857142857142856, 0.1902439024390244, 0.21081081081081082, 0.25853658536585367, 0.22439024390243903, 0.2682926829268293, 0.22631578947368422, 0.24]	[2.8536585365853657, 3.026315789473684, 2.9523809523809526, 2.7804878048780486, 2.972972972972973, 3.0, 2.8780487804878048, 3.0, 3.0, 3.1]	[0.17479674796747965, 0.19736842105263158, 0.15873015873015875, 0.17073170731707318, 0.17117117117117114, 0.19512195121951223, 0.14634146341463414, 0.17682926829268292, 0.1820175438596491, 0.18750000000000003]	[0.7036311193739808, 0.6467645241927352, 0.6770601696551142, 0.7045442125015114, 0.6839938300414489, 0.7149688830382643, 0.7092587868628054, 0.6963813724050704, 0.7032932119923136, 0.7831007438642945]	[0.8343430424503007, 0.8064558898436667, 0.8461026817009037, 0.8639207000597828, 0.860503729978116, 0.8327710226717842, 0.8761601677699439, 0.8284571810590727, 0.8390902512111642, 0.8704506217892067]	[0.8561946902654867, 0.8309243697478992, 0.8595577485380118, 0.869454758647645, 0.8618001417434444, 0.8580601878474219, 0.8793202764976957, 0.8513875598086125, 0.8408963585434175, 0.8680555555555556]	0.518903318903	0.552867132867	0.724137931034	0.684782608696
classif20x20week_smsout	[0.37209302325581395, 0.43902439024390244, 0.28205128205128205, 0.41025641025641024, 0.425, 0.48717948717948717, 0.3333333333333333, 0.45, 0.5, 0.4]	[0.2372093023255814, 0.2097560975609756, 0.26153846153846155, 0.22564102564102564, 0.23, 0.20512820512820512, 0.26666666666666666, 0.235, 0.205, 0.25]	[3.0, 2.8536585365853657, 3.1794871794871793, 3.0, 2.95, 2.871794871794872, 3.1538461538461537, 2.95, 2.875, 3.025]	[0.17829457364341084, 0.15650406504065043, 0.20085470085470084, 0.18376068376068377, 0.16666666666666666, 0.16666666666666666, 0.2222222222222222, 0.17916666666666664, 0.16875, 0.1916666666666667]	[0.7556608972833306, 0.7341185275387727, 0.6999875068519856, 0.6726316956495781, 0.6599027608038733, 0.6578203374302909, 0.6134775714921932, 0.7049504333371176, 0.6912125471252794, 0.7372151568232905]	[0.8632892349088349, 0.8822459632483822, 0.8196160298000261, 0.7992476812191016, 0.8320117932643225, 0.8462395425776067, 0.7793376516383973, 0.8544310391588401, 0.8459285628102124, 0.8354529815439681]	[0.8627655869035179, 0.8862062331666025, 0.8311496196111582, 0.8404640272456364, 0.8545399331916186, 0.8653475935828877, 0.8023255813953488, 0.8565379574553887, 0.8707386363636364, 0.8520751683247915]	0.513595583161	0.547985347985	0.715909090909	0.677419354839
