6 LABELS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Clasif base,Parámetros,Dataset,Accuracy↑,Hamming Loss↓,Coverage↑,Ranking loss↓,Avg precision macro↑,Avg precision micro↑,ROC AUC↑,f1 score (micro)↑,Recall (micro)↑,f1 score (macro)↑,Recall (macro)↑
KNeighborsClassifier,n_neighbors= 5,classif20x20week_callin,0.30509306584888,0.20662524491,3.52204837152512,0.170789770486476,0.724095489532095,0.811131771605044,0.867446073752017,0.693232011653,0.679572973323,0.737373737374,0.722772277228
KNeighborsClassifier,n_neighbors= 10,classif20x20week_callin,0.321378169633984,0.203056064306,3.43439262288099,0.161608468171937,0.73375366601897,0.828090805658024,0.870037845010914,0.573691239316,0.528689944315,0.68156424581,0.60396039604
KNeighborsClassifier,n_neighbors= 5,classif20x20week_callout,0.341632452912941,0.19732926175,3.55289577631041,0.177135981490656,0.732857835880741,0.813187914813546,0.872966556451472,0.589768849328,0.572675935176,0.747572815534,0.72641509434
KNeighborsClassifier,n_neighbors= 10,classif20x20week_callout,0.320467784248272,0.195840186237,3.45742448608302,0.16248954438741,0.735749324084002,0.836524480125139,0.878954799177371,0.594623594099,0.559111721612,0.748717948718,0.688679245283
KNeighborsClassifier,n_neighbors= 5,classif20x20week_internet,0.295533065921384,0.229551038096,3.73082846585735,0.217710805417106,0.680468010539608,0.783427655806751,0.844895808897266,0.683979580361,0.642941086691,0.748717948718,0.708737864078
KNeighborsClassifier,n_neighbors= 10,classif20x20week_internet,0.265556647745351,0.236627151256,3.57894625628259,0.193544090942893,0.687080661075119,0.80526787998399,0.850749329724076,0.604334288205,0.540613553114,0.696132596685,0.611650485437
KNeighborsClassifier,n_neighbors= 5,classif20x20week_smsin,0.338252671416313,0.190287166614,3.49597336883594,0.162924020311492,0.735870899197445,0.827346110471031,0.881178524747,0.72369653015,0.701030183267,0.795918367347,0.772277227723
KNeighborsClassifier,n_neighbors= 10,classif20x20week_smsin,0.336990638875211,0.200613322971,3.35651079354217,0.150373966867552,0.741835097655868,0.842644534017012,0.882469516262326,0.669432699084,0.598349147198,0.747252747253,0.673267326733
KNeighborsClassifier,n_neighbors= 5,classif20x20week_smsout,0.345415767331536,0.198334346443,3.47567376432237,0.166943563467623,0.732392643980634,0.818333251110834,0.875614268836779,0.664926292191,0.629297650234,0.723404255319,0.686868686869
KNeighborsClassifier,n_neighbors= 10,classif20x20week_smsout,0.333468587702847,0.203356470863,3.3811411326244,0.155616124468164,0.740172297105187,0.834698187833383,0.878616625490232,0.596947890819,0.542896126062,0.696629213483,0.626262626263
,,,,,,,,,,,,,
MLkNN,k= 5,classif20x20week_callin,0.302315288071102,0.204392409916,3.47202828179572,0.166768592662004,0.667974583185123,0.783250089538237,0.832439468990853,0.705930424351,0.70230024605,0.756218905473,0.752475247525
MLkNN,k= 10,classif20x20week_callin,0.315004543260357,0.208556166056,3.61784117045745,0.189226148869075,0.603901265195569,0.764889938786336,0.80886479222126,0.577522656941,0.554330969956,0.684782608696,0.623762376238
MLkNN,k= 10,classif20x20week_callout,0.323076286856775,0.197739734295,3.51877667048399,0.165385292402569,0.642110919829476,0.802483000029924,0.837028653131706,0.520023991603,0.53601953602,0.748768472906,0.716981132075
MLkNN,k= 5,classif20x20week_callout,0.341632452912941,0.197726087147,3.43946370025638,0.160702721416644,0.685849983850207,0.799500987745324,0.844953618912162,0.588239237572,0.57962037962,0.746411483254,0.735849056604
MLkNN,k= 10,classif20x20week_internet,0.281313116351627,0.235419099573,3.71483190251483,0.208593996625848,0.607963663850692,0.762395909503958,0.803343326641016,0.627903167091,0.597435897436,0.746113989637,0.699029126214
MLkNN,k= 5,classif20x20week_internet,0.295699363038901,0.233432228044,3.55051116227945,0.183506055897343,0.614764330929101,0.774771592319935,0.820754702089429,0.683979580361,0.642941086691,0.748717948718,0.708737864078
MLkNN,k= 10,classif20x20week_smsin,0.326807914622719,0.20780626082,3.51195952133267,0.171299377672387,0.646584433562169,0.798440787990026,0.833176088640556,0.69718583023,0.676370632292,0.766839378238,0.732673267327
MLkNN,k= 5,classif20x20week_smsin,0.33587171903536,0.191092063472,3.37830809871881,0.148370621121022,0.698208340720316,0.816419678783116,0.854561396766792,0.72369653015,0.701030183267,0.795918367347,0.772277227723
MLkNN,k= 10,classif20x20week_smsout,0.341565161195053,0.199401142929,3.53836837120728,0.174390134482331,0.646508719561676,0.790755239617148,0.831477695572008,0.633091527209,0.590336736921,0.708994708995,0.676767676768
MLkNN,k= 5,classif20x20week_smsout,0.330320253715035,0.196568633951,3.39355523539159,0.148221563407693,0.69218135054744,0.81111597818599,0.855371112752596,0.649053276318,0.595964316901,0.720430107527,0.676767676768
