,cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23
0,38.0,0.0003081900761325,1.3050681703045688e-05,2.979086978720404e-06,5.003242927877264e-05,2.424196770605587e-06,1.6547952904920616e-07,2.5679199275324944e-06,5.016702747849896e-05,3.9371902808813445e-05,0.0012218241880514,0.0013605965508539,3.6423983569941097e-05,0.001800564127722,0.001315439839649,0.0002518966230756,0.0011512968484727,0.0015560111231374,5.622781495998376e-05,0.0013866458970189,0.0010171904244027,3.4993946218966924e-05,0.0001071943224211,6.812573933158772e-05,6.80165101311496e-05
1,7471.0,3.083641623829516e-05,2.3427602451512283e-05,2.3527994327355818e-05,0.0,0.0,1.8316048940162776e-06,0.0,8.189234659723563e-05,0.0002313523835023,8.90612105792484e-06,8.340248659854429e-06,0.0001782691596503,1.1475612513017892e-05,1.2081026048991137e-05,0.0005881998581838,8.925891626876295e-06,1.268643958496447e-05,0.0002668822179792,8.04742717634361e-06,1.117620083985645e-05,0.0001826729518208,0.0001858092542507,0.0001198284661349,0.0001176399716367
2,7467.0,0.0,8.586938815811677e-07,5.518007560292978e-07,0.0,0.0,0.0,4.433752742709205e-06,0.0002352799432735,0.00079995180713,1.7105823436908228e-05,1.6002221924849632e-05,0.0005176158752018,2.207203024117191e-05,2.3175631753230503e-05,1.3795018900732446e-05,1.710582343690823e-05,2.42792332652891e-05,0.0008940637844395,1.5450421168820335e-05,2.1520229485142614e-05,0.0008470077957848,6.31685903388019e-06,4.29346940790587e-06,2.7590037801464888e-06
3,7465.0,1.4779175809030683e-06,1.6554022680878933e-06,0.0,0.0,0.0,0.0,2.342760245151225e-05,1.6533819642110523e-05,0.0,0.000729367824148,0.0006823118354933,0.0,0.0009411197730942,0.0009881757617489,1.4121360583493647e-05,0.000729367824148,0.0010352317504036,0.0,0.0006587838411659,0.0009175917787668,0.0,1.213961663264455e-05,8.277011340439466e-06,0.0
4,7464.0,7.809200817170751e-06,7.058398298206749e-05,7.809200817170751e-06,9.158024470081388e-07,0.0,0.0,8.586938815811677e-07,2.868903128254404e-06,9.745044370554535e-06,0.0001666696420982,0.0002667464676051,6.3366296028317246e-06,0.0001926027779151,0.000268155653218,0.0002291791676161,0.0002116373458535,0.0002051389267254,1.0955871442501111e-05,0.0001501639165365,0.0002308534681832,1.0310916768624786e-05,0.0005176158752018,0.0003529199149103,4.980781959537827e-05
5,7463.0,2.8623129386038925e-07,8.937260936161243e-06,1.4779175809030683e-06,8.273976452460308e-08,0.0,0.0,1.6554022680878933e-06,8.724504339167997e-05,0.0002811284443463,6.637413639173817e-05,2.950136143412841e-05,0.0001917447288916,6.35885079797306e-05,6.215894789935494e-05,4.221187102181644e-05,4.161679542917807e-05,4.897403840078445e-05,0.0003393247067576,2.435015264982373e-05,3.489945264686968e-05,0.0002929747185155,0.0001258162645115,9.873900346304776e-05,9.729113015288344e-06
6,7462.0,5.518007560292978e-07,4.4337527427092365e-06,0.0,0.0,0.0,0.0,7.058398298206745e-05,5.211926479256346e-05,5.3173604139171226e-05,0.0002555649549035,0.0002598614039987,3.543859316833414e-05,0.0003274565425476,0.0003592451276306,0.0,0.0002695717911765,0.0003668196278172,6.25945621289432e-05,0.000232137352452,0.0003147935406774,5.554455802328416e-05,3.485371189064085e-05,2.275364499123944e-05,0.0
7,7461.0,2.3527994327355818e-05,2.0147136958865515e-06,3.200144968760239e-06,0.0,0.0,0.0,1.4845838640950468e-05,5.5180075602929775e-06,1.8761225704996124e-05,0.0001434740367138,0.0001548798979597,1.213961663264455e-05,0.0001854984126393,0.0002056881903735,7.215094053364377e-06,0.0001549633599793,0.0002000269907604,2.0968428729113317e-05,0.0001304233550108,0.0001782758545886,1.986482721705472e-05,3.0745181947331094e-05,2.3741292011551453e-05,6.897044367083594e-05
8,7460.0,7.558099213761098e-06,2.3014297142061485e-05,2.8623129386038925e-07,0.0,0.0,0.0,1.3050681703045688e-05,0.0005031851965262,0.0001622693800496,0.0010195530441682,0.0008732770581466,0.0001100666532374,0.0007222565415447,0.0006411189378027,3.516473272993408e-05,0.0006166847341811,0.0007365694686265,0.0001969042738851,0.0003678547682544,0.0004260056144901,0.0001680975037019,0.0010842259225909,0.0010436062413838,1.4311564693019462e-06
9,7459.0,1.0852700545852195e-06,3.911262809951572e-06,6.715712319621735e-07,0.0,0.0,2.5026835056175088e-05,5.6626658349085344e-08,0.0011696786852725,0.0001834584380924,0.0003579407196465,0.0004324728947539,0.0001492927247404,0.0004185553427279,0.0005024295900262,0.0010957899264933,0.000362245199837,0.0003593773558699,0.0001219266000917,0.0002490629079197,0.0004044244660324,0.0002041493784937,0.0006758352876563,0.0007628054576821,1.2101920510577776e-05
