,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23
0,38.0,0.0003973348191272,0.0,0.0,1.0727484961080307e-05,0.0,0.0,8.67108403553142e-06,1.356957926973782e-05,0.0001083735497508,0.0027489223608338,0.0037881319034377,0.000185746250762,0.0022629577157692,0.0019478981283165,0.0005945942310819,0.0028956420336118,0.0031002016515263,0.0001028315744926,0.0029843914743205,0.0013438837498052,1.54192253950219e-05,5.5584405150324485e-05,1.1927289176621938e-05,1.5458653520535505e-05
1,7471.0,0.0,2.965691901076539e-06,0.0,0.0,0.0,0.0,0.0,6.470837724574104e-05,0.0004794988105917,3.462058360612453e-05,1.4216350915885337e-05,0.000709232366314,1.2610657087578892e-05,2.9145205077127263e-05,0.0018707368907774,2.513097050636111e-05,2.0476507625276376e-05,0.0005509715495214,1.8122173084095047e-05,1.4180213448366615e-05,0.0001569335572805,9.302047574793348e-05,2.1410972661214517e-05,6.450816864749743e-05
2,7467.0,0.0,1.8068733759375584e-08,0.0,0.0,0.0,0.0,1.7812000483055414e-05,0.0004515571805324,0.0019997532280724,6.656788727155464e-05,2.723231752018145e-05,0.0027093430831948,2.420650446238351e-05,5.597754156926186e-05,4.3874289338070105e-05,4.841300892476701e-05,3.93355697513732e-05,0.0016127042161874,3.479685016467629e-05,2.723231752018145e-05,0.0003870490118849,3.139112721575105e-06,7.847781803937762e-07,1.5129065288989691e-06
3,7465.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59861676490101e-05,2.836469129525591e-05,0.0,0.0028383594204898,0.0011611470356549,5.603142629968688e-06,0.0010321306983599,0.0023868022399574,3.87174145563689e-05,0.0020642613967199,0.0016772123848349,0.0,0.0014836878788924,0.0011611470356549,0.0,6.0516261155958764e-06,1.5129065288989691e-06,0.0
4,7464.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157181455334526e-06,5.493447262756434e-06,2.4382329793486172e-05,0.0007932898670267,0.0005047467979256,3.3032958511577473e-05,0.000317358571334,0.0005337555295188,0.0006858622718019,0.0005532319236887,0.0004927483025218,1.969172944488252e-05,0.0004114171073819,0.0002482676310559,4.726737816122079e-06,0.0002580326745899,6.450816864749743e-05,2.1410972661214517e-05
5,7463.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0516261155958764e-06,0.0001498768086285,0.0007095201537162,0.0001584558267388,0.0001049750985042,0.0009701363001999,5.893441951872454e-05,0.0001098502343184,0.000130339707595,0.0002041254265838,0.0001719544750007,0.0006061497649592,0.000115275352372,3.870414116570032e-05,0.0001535612831775,7.701679154713456e-05,1.067886112358172e-05,4.052098756465106e-06
6,7462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002580326745899,8.349102423635357e-05,0.0001336330887363,0.0010380536927326,0.0004592386482318,0.000183016991429,0.0003736023935918,0.0008468830653867,0.0,0.0007323763276783,0.0006054309823112,0.0001141313125691,0.0005411980643276,0.0004090477538112,2.912340891037552e-05,1.781200048305541e-05,4.052098756465106e-06,0.0
7,7461.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69731409278034e-05,1.0590345702292785e-05,4.6900102395868045e-05,0.0006114284566535,0.0002776931927298,6.35420742137567e-05,0.0002144623721574,0.0004806859417541,2.279470469893912e-05,0.0004289247443149,0.0003494857608113,3.782266322247423e-05,0.0003137038932814,0.0002304417020668,9.077439173393816e-06,9.578495115208888e-06,2.06814147848791e-06,2.6711587478405965e-05
8,7460.0,2.283709849901532e-06,2.1760419165079963e-05,0.0,0.0,0.0,0.0,5.5584405150324485e-05,0.0005720955035675,0.0004091222066944,0.0019119350310439,0.0019013529866955,0.0005639481329688,0.0014490663323451,0.0011440557069462,0.0001291740115771,0.002355774780698,0.0021402518029788,0.0003611842169662,0.0015192359452444,0.0006162094756815,9.518948039124184e-05,0.0006032169948727,0.0004128524776803,7.847781803937762e-07
9,7459.0,1.8141080550945767e-05,7.089098429785376e-05,0.0,0.0,5.797772656892503e-06,0.0,9.890074374706984e-05,0.0028159522307359,0.0003457938991249,0.0009450569266669,0.0009756761255488,0.0007471997983016,0.0007071881544907,0.0007356057370067,0.0017219418752339,0.0010586309705129,0.0009461233869474,0.0003385859337783,0.0007533808002117,0.0005656057336884,0.0001737094437358,0.000610143192105,0.0002760014474084,2.6062810273878465e-06
