cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,h/w
6460,0.020742501213613596,0.01221567288259662,0.004229324023201185,0.0019132931982198795,0.0007414214512054833,0.008267094346439297,0.01893276437272593,0.06096182649614774,0.18133978775849793,0.3475487071900074,0.3893582594727642,0.3890847893253622,,,,,,,,,,,,,1
6462,0.010270030593337424,0.00781067877888719,0.0010100877288996227,0.00027505507406279026,0.002201278855391939,0.0025428640079697973,0.013835807438064963,0.04440239411772585,0.15093157717658381,0.20297237984412503,0.23766613709450005,0.23489077596157157,,,,,,,,,,,,,1
6475,0.005443441902052058,0.002144587359408122,0.0004551866677831705,4.106642370755897e-05,0.000637409242806802,0.0008900595224053656,0.004773420302132401,0.02289236595586559,0.08987954426849136,0.13774321765302422,0.15812456103471884,0.1473166126423274,,,,,,,,,,,,,1
6489,0.00044431788539548973,0.0006127299634599764,0.0,0.0,0.0,0.0002755523387939541,0.0008264802821133377,0.005290988384501061,0.013629163775375338,0.02116696995029927,0.02184572689243626,0.02813317378012507,,,,,,,,,,,,,0
6495,0.0013125241080133602,0.0017605024093715557,8.857271742342503e-05,0.0002798995706659905,0.0,0.0007349640826938198,0.0015174918762731445,0.01694085417658384,0.045085598328011574,0.06735536982406937,0.0692983983616565,0.06214122862585627,,,,,,,,,,,,,1
6555,0.006247178879633041,0.00223729416716539,0.001090224786855996,5.5068450095728214e-05,9.12952235774911e-05,0.0010977809749320724,0.004540299106768988,0.015768031143923052,0.0477202335386107,0.0916905831453607,0.07576652764002333,0.06803671373564166,,,,,,,,,,,,,1
6570,0.014106735335236596,0.00555728535073076,0.007571622714367764,0.001914334799476504,0.0013428915757580026,0.0029715047633752556,0.006043012090911012,0.03939002098313416,0.11895865459810362,0.22891070463257043,0.2493461736705773,0.3113541372345932,,,,,,,,,,,,,1
6579,0.0023410003974759248,0.0012207439293119079,0.0004513947602549868,0.0001244722312507247,0.0001244722312507247,7.481123866722115e-06,0.0018049023471304038,0.010353188985583281,0.03626723671254647,0.0532258984802901,0.06519009258279274,0.06982857354312505,,,,,,,,,,,,,1
6587,0.002715359435714084,0.000855306493458711,0.0,0.00019654892927476584,0.0,0.0003042258263629374,0.0016505742962808255,0.013304881603545957,0.03510828207621047,0.05779765927433823,0.06186503209853002,0.05791734643166055,,,,,,,,,,,,,0
6600,0.0008997973062882066,0.0004683597884876435,0.00033685470611648276,0.0003524968046234431,0.00016842735305824138,0.00022099172225228237,0.001309704729995829,0.0025457044693054168,0.015158491863657343,0.024129649564437118,0.03043060066373325,0.01836471142737388,,,,,,,,,,,,,0
6660,0.008017959921605516,0.005966111692117522,0.005355700193253599,0.007001243869205991,0.007835460074141607,0.0026539798639447307,0.01264850112016679,0.04570637272549865,0.11217306790427867,0.1617298755299099,0.19289473811613764,0.18451364221995126,,,,,,,,,,,,,1
6665,0.015706395472372018,0.0039573739827675255,0.0010184365148391526,0.00016689782123200395,0.0014334953611187702,0.0009014881048687738,0.01134343303250995,0.050678898993021214,0.1239278929247905,0.21529068479497124,0.2630599836076577,0.26228993482620916,,,,,,,,,,,,,1
6675,0.005261209819461341,0.005561297244576249,0.005113409020909939,0.0036570222316335745,9.613610246940763e-06,0.0031264620213872067,0.009448113481665098,0.049988628088987054,0.11259023871552828,0.15146050618707574,0.17569873603771796,0.1939311164595038,,,,,,,,,,,,,1
6687,0.003315747165157971,0.0008832472821855984,0.0,0.00022647592049565053,0.0,0.00011994918169071303,0.0015760974865583256,0.012899042951419663,0.03674066913960872,0.06191763003509739,0.06739947150562892,0.060178115314703545,,,,,,,,,,,,,1
6700,0.0004409594956010669,0.0003125652537434275,0.0003015601614190965,0.000278911048809049,0.00014798558876978797,0.00027510846602097597,0.0012494498184070137,0.00239794991625624,0.011438865245658405,0.018194334189111126,0.0214198975879136,0.015126121278478087,,,,,,,,,,,,,1
