,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,h/w
153,8084,0.007986778730038852,0.002002746381814965,0.0013527521584825492,0.00025185572510900175,0.000668400797215647,0.001491268328623274,0.0018767261804915052,0.02010756993950468,0.056425968975014,0.13294507372862666,0.1478579669313073,0.1907310875436795,0.17512600950669704,0.1616212544687127,0.158100884400252,0.17112786880801836,0.1967187178324827,0.1916924010183425,0.16962991841863953,0.08565055221427609,0.05440937839366381,0.03140725776238838,0.027741785687380824,0.009649213411400421,0
154,8095,0.001100539801291752,0.0002082725360541904,0.0,0.0,0.0,0.00018927936631532783,0.0006248176081625714,0.008229621465084826,0.02113466591077158,0.031072285752978282,0.031145079013796404,0.03369150593387765,0.03293499057421307,0.024875116664477226,0.03015740881144614,0.03277206323396835,0.03489283177891089,0.035828291878799,0.03924804973930184,0.02528549992924188,0.019168154025389975,0.013174419084229045,0.00624043698179848,0.002957810747662086,0
155,8159,0.0009934049686332138,0.00042023079500444623,0.00037861441179609456,2.9622201919798778e-05,0.0,0.0005603467643757529,0.0026922960995180664,0.008511295265969382,0.023843032232588567,0.03515513701848533,0.037674181424175814,0.0399993241697587,0.03202542897648181,0.02671521214644749,0.03645800843038046,0.0387354994705034,0.04257446113688362,0.045701738995212224,0.03974305607508357,0.02588211937253111,0.02162616637999611,0.015693758975444286,0.006622595678917503,0.0025222447049711026,0
156,8161,0.0032729954052390163,0.0008601422107514319,0.0014443872469565428,0.0,0.0,0.00019818003430655733,0.003894055918429484,0.01056671850341982,0.016610148202681592,0.03050290293188202,0.030764418853444726,0.03383330394753552,0.030088473429140044,0.034166328128892476,0.03582920693998086,0.03782538853603004,0.03892645653491506,0.046412548792080725,0.042150497305881544,0.03752309035273289,0.026876691216980723,0.021360379547113423,0.01218500747010855,0.0070874900928561135,1
157,8176,0.0023596849480598714,3.4249931252664213e-06,0.0,0.0,0.00020788707180691946,0.0011539975771882168,0.0027728146404210736,0.02651276653456557,0.06021874118465779,0.12283313513564209,0.1154748649022139,0.12326550001964602,0.12177920220019355,0.10160374293589497,0.10992744480080685,0.11688728882887016,0.13586852122636472,0.1323796452420331,0.11130027546400767,0.07848217503648429,0.055689634488724375,0.04519559715404858,0.017049224250358555,0.008034673197002967,1
158,8185,0.004748998247631175,0.0014917127043720696,0.0008698719715970314,0.0010503862660675325,0.0009442595210110246,0.0008101796437118132,0.004614398794996423,0.027184648226766327,0.06791204483237141,0.08747080803769439,0.07883688533353403,0.11142276479009024,0.09868933741872744,0.07695959590762336,0.08635331730629514,0.10263046849930732,0.08913648346893387,0.10682191824879003,0.10074923309561998,0.06475952900087842,0.04839958553544064,0.02428000451101275,0.012106868318682667,0.00824861464979573,0
159,8195,0.0015688145092525021,0.00032485925252343894,5.370324929990092e-05,0.0,0.0,0.00021491316044916492,0.000974577757570317,0.01226616945580462,0.026619251601329712,0.039623862114941996,0.04093638259565047,0.044077408096584995,0.04112751479467269,0.032186502945025126,0.0396021198107877,0.044403753092016135,0.04788548437636788,0.04940054128487361,0.05615045796290573,0.03530092683483271,0.023957075189863654,0.01568523350035192,0.008165596687700253,0.0036581453148779282,1
160,8255,0.0012945861233806706,0.0012945861233806706,0.00032364653084516765,0.0,0.0,0.0,0.0024838896403439645,0.008098961982722228,0.01739558735589806,0.018034520544098088,0.020405328866431635,0.024394369842991027,0.01716886355797996,0.01792979909957798,0.020307844971607297,0.021165703246132383,0.016085403809331312,0.025381468020609876,0.017500869962315438,0.019135822363521893,0.01176435642843645,0.007985880664711814,0.0066912945413311435,0.002160243109498797,1
161,8269,0.0035996690163777943,0.0013521150383995755,0.00036009345321013313,0.000719789884602017,0.0004961100480492835,0.000992220096098567,0.0037358841221260693,0.010801116218864966,0.0452598887330943,0.10254349328725326,0.10784274945286183,0.13302169326295976,0.10656193618980805,0.10623520834327865,0.10314395948965377,0.11825928291966417,0.10650447126419813,0.14250594370763353,0.1092196760238427,0.0945958493425103,0.04005455773052685,0.016714396220278586,0.004816035899300782,0.005178222725975958,1
162,8279,0.002676323339862581,0.00048617083702755026,0.0,0.0001489843274882684,0.0,0.0006272058030981541,0.0014906617076694876,0.014666821710954193,0.035447590720807276,0.04685983864418736,0.05074678729373925,0.053184467151461697,0.05250813099171756,0.04081711103575479,0.05156055855915117,0.05301871724229356,0.06880818763280352,0.07118282825400678,0.07338475716633694,0.05002377348505489,0.03523467984763511,0.02028032737044978,0.008639883378022862,0.005329047288572432,1
