,cellid,internet0,internet1,internet2,internet3,internet4,internet5,internet6,internet7,internet8,internet9,internet10,internet11,internet12,internet13,internet14,internet15,internet16,internet17,internet18,internet19,internet20,internet21,internet22,internet23,h/w
137,7779,0.03171260286456072,0.02441065080424905,0.019187412846485057,0.01841491663753577,0.018782181878809655,0.018394069885855856,0.02009155299542477,0.025708371575809352,0.026659929782196896,0.026526824204487556,0.027934831484393716,0.028785572065758765,0.026767442214455258,0.02676563879892949,0.02738723340554117,0.02714811471767003,0.025260637815558425,0.031698782630795765,0.035118275153270206,0.04102438772954901,0.0426211065597023,0.04476286238633581,0.03793515599085629,0.038947485313492056,1
138,7784,0.015482804934320919,0.009185817493330365,0.007496823743730152,0.007267171210566827,0.007186480714729748,0.007570669965450477,0.011703757068355018,0.0252077367215976,0.032705526770340484,0.04921035601302911,0.06794783570024954,0.07413185122448614,0.09397334068522684,0.09425710580594024,0.09142874474520218,0.07060014366407827,0.07287704584602611,0.06934765816402395,0.06190816841459794,0.052395576892926905,0.0403085367733033,0.029722382366488737,0.02525546115639834,0.01862848043789684,0
139,7797,0.006263199186543052,0.005854045506034411,0.004176760131894117,0.003844673533397626,0.003454658756009203,0.003282751610759625,0.0043755566823198925,0.011865032901936651,0.01793259344385171,0.01798641010540401,0.019541337698524404,0.02033940246495298,0.025879943709673017,0.026123994795272897,0.019809484516498756,0.018578010100812288,0.017321101907999126,0.018193383463130312,0.015673278087052545,0.015319961606298855,0.015754787556431442,0.011305663219811347,0.010275547044724284,0.009227672274213932,1
140,7857,0.0367377097218672,0.032141737294412484,0.02784716326334761,0.024524883242593047,0.023233391221975607,0.021982700206254518,0.029838008350956156,0.04325994984479419,0.05611834148597946,0.05616826843404381,0.061553017743194674,0.048907089555917625,0.0511922839592536,0.056189775840345915,0.05655989444905484,0.05820623292087508,0.05469671151763419,0.05383660217550836,0.05946564239314583,0.06255227543307391,0.06194241504295933,0.059891382812251384,0.053892159844863737,0.05155584897730255,1
141,7866,0.05146193130330958,0.029403529040447497,0.02654521370696595,0.022567089300808627,0.02182016416353356,0.022461973804144834,0.027464312793721357,0.03841802724666063,0.0654526352765093,0.07725096012484542,0.09275598020017137,0.11460065337033576,0.10910274228509127,0.16191626204707915,0.10203470754794944,0.09191821086276006,0.11171232967633947,0.0919166067501202,0.09157617289968017,0.0796487840599708,0.07629807343923603,0.053998375819033065,0.052817699926006274,0.04617931145759434,1
142,7879,0.030201473737850423,0.023217181334871856,0.018179610080152377,0.017382735738435802,0.01772685045509346,0.017351655627953655,0.018911032765251516,0.02425612447080923,0.02511174395077672,0.02492430410816517,0.026164604389610838,0.027053150383132354,0.025124885346843144,0.0249740593243646,0.02543838228983102,0.025322192655521256,0.02331719992801209,0.029651410155983146,0.03293390758612178,0.03873770625744943,0.04043825212887647,0.04293266290136155,0.03639537879106356,0.03757553706689647,1
143,7887,0.024646471325748872,0.020978287834659565,0.01657603161911744,0.016885523246805742,0.01841084664842412,0.02057763380644877,0.0246018799665947,0.03806024005636403,0.04272344280920406,0.043837601606173456,0.05715217851357848,0.05833701860151399,0.05183326135536227,0.058636707112293456,0.0666677248948408,0.06477455369697008,0.06706357318612295,0.0620977986508648,0.06968687286928645,0.06278409360618871,0.0753307227923687,0.07171005213625484,0.05542596402603444,0.04525269963229951,1
144,7899,0.01456399117268821,0.011965401843254404,0.010141101718252502,0.009261009746451441,0.008934812331504978,0.008479397450835398,0.011437654998016862,0.021149110540800816,0.02467674752968273,0.021356771034616986,0.020052338018035066,0.02052828641533365,0.01933643960584338,0.02281199743442337,0.020048663998521524,0.015483195085376274,0.016668303079393026,0.018195866929228796,0.02036821801886025,0.02217242769472489,0.023863126935876108,0.02352485612733723,0.019029205031932003,0.018882198475542507,1
145,7952,0.052602510619104356,0.044423796659321876,0.03727305285042965,0.029165029302783276,0.02780247436180915,0.03190230136632666,0.037594333822421395,0.06743306026268825,0.08889935930764892,0.07416601430425786,0.07195478231548537,0.0754248933877827,0.08926517672578793,0.08619010282468047,0.07824953876255329,0.09005057971591393,0.0825517214801896,0.08647998542781998,0.09672465471082704,0.0990027820503769,0.09581102761969745,0.10496049320964122,0.10587879374707947,0.0635844898733147,1
146,7970,0.054741303954106875,0.05176990443666431,0.02427250892263851,0.01944289518987968,0.016662553211278814,0.01607312360537532,0.018110196389533522,0.031795895607655306,0.08321833961427409,0.08120873274698301,0.08430316407113363,0.08946106110875993,0.09671206426382298,0.10836392236793767,0.10028998142861215,0.09606401587283023,0.08704061086898834,0.10391431159221932,0.09624910504465985,0.07392217194288128,0.06961879986639248,0.08264360422343464,0.0632964116643304,0.07105661331468757,0
