,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,h/w
60,6253,0.018235935710310743,0.006753492183938062,0.005916188249575489,0.0,0.003422372733954494,0.0034949444815650776,0.006940528483633065,0.02645360333879939,0.09384210336475134,0.12702241251186736,0.19685714139882968,0.17449608031083122,0.1544846422794523,0.11503352765150175,0.16010414051804048,0.1494576383151662,0.13862419148819408,0.16165250596440214,0.1678298919555635,0.14108197903620628,0.10469496306991535,0.055089184658036194,0.03774136422904904,0.029573808905964484,1
61,6263,0.018385468591830694,0.005274593854676941,0.0011892235934820384,0.0019298635214879541,0.019298635214879543,0.011387891478390814,0.01732719062544954,0.08566670172605777,0.237610034821292,0.3573721075448457,0.3423804832185541,0.3674631817733925,0.34654850469225174,0.3265137800762158,0.3455828685157039,0.34462126404114196,0.35916838584151944,0.33691691001391605,0.3132146052987659,0.19722604838618962,0.12057522765790565,0.0615744385844051,0.049019365845851204,0.025447335675227726,1
62,6272,0.02013302834021877,0.006750146073007648,0.004804263041109684,0.0014442237160379521,0.003529110905916026,0.0032895280760757324,0.00848812336630415,0.03767089503452237,0.1567327236235903,0.21226639611001735,0.2219737554334078,0.23896134365470498,0.24834201225645655,0.20007933150410379,0.21757942528643964,0.2479842327839477,0.24298581571166555,0.25726369200493454,0.29738788196606897,0.24803442276306362,0.1735103270126965,0.11482918366528935,0.07953487444274147,0.039471130276107186,1
63,6285,0.00282278865650214,0.0,0.0,0.0,0.0011785763324289019,0.0012830635856605054,0.004181958392925927,0.021110642087012764,0.05109214322702149,0.07670328000042582,0.07095444092837057,0.0654783217617714,0.05925132641021307,0.07016844973046711,0.05422054300395781,0.0565968429161994,0.07189368229576358,0.08669524011023491,0.060517187663907214,0.05499024917856913,0.03603210410735302,0.024418252959342582,0.011381451328006002,0.007814169004207894,1
64,6293,0.00039198680336575547,0.0006786407467696089,0.0,0.0,0.0,0.0010985453546542713,0.0016586077551839975,0.010701526775789174,0.02928238160946556,0.0445874703372199,0.04258610183037455,0.038796715312960466,0.03469893322378739,0.03453292083085292,0.032080477287164094,0.0326740698668408,0.04713006434444268,0.043377805867780776,0.03716956668015214,0.04320812436841348,0.02964133778895141,0.017389436154983413,0.008926415977849994,0.003851960515385148,1
65,6358,0.010015663790355667,0.014844954062218764,0.0025929041565060087,0.0007591421692128278,0.005535202130173823,0.0007846111882680452,0.013497699548851008,0.05609448250148765,0.19989827501278234,0.26363574657965533,0.47270852276622577,0.49125421138244163,0.5520707709967967,0.45263850808942935,0.5276435598607663,0.41925608440892026,0.4580470410214912,0.5642661194417206,0.4302123144725966,0.3327507357106834,0.2369275826720352,0.14711226665504426,0.07119514360122868,0.026721755932315683,1
66,6369,0.019950616838260448,0.010038591501669308,0.0064347264629787595,0.0009790967298920375,0.005242802545865701,0.0038577883876900624,0.017736938260458364,0.054875213517053885,0.16966067513869704,0.2733992906131733,0.30252855831951286,0.3235431818687992,0.2961167630262081,0.24023553279001808,0.2893558525673064,0.3172079105921778,0.3517391039416467,0.3359951848673951,0.33007603582215456,0.25935753960982216,0.22729402760443057,0.20354023620197195,0.10416098295109508,0.059508542891053846,1
67,6379,0.0025553967209295523,0.002092256555427116,0.0004668311979018929,0.0,0.000546760283658915,0.0004668311979018929,0.0025247483835205108,0.01502435109563866,0.040404611869028585,0.052224386704299186,0.07528201277692916,0.06942102982580337,0.0571724336952454,0.05445325652878478,0.06263153893897143,0.06322262808025737,0.07650426779146624,0.09337557090219349,0.08090636406264051,0.06874222104340226,0.045661318752609335,0.035200408080561504,0.017820391729677316,0.009077056050369446,1
68,6381,0.0022099999430983375,0.0003900115331068859,7.800230662137718e-05,7.800230662137718e-05,0.0006630038885436121,7.800230662137718e-05,0.0024922117489989785,0.006695185534447499,0.02069845508401819,0.030016501785939148,0.030123455284580703,0.03168996954036519,0.024550985041433496,0.026715656508000892,0.02627515356951793,0.03532403854341107,0.034948170476055695,0.04248942280314325,0.03562560948295955,0.02602243014522315,0.016798016587922678,0.01251013141801057,0.004038649348863893,0.005217321129147387,1
69,6397,0.003446211271049404,0.0005660750601560716,4.3791247326405236e-07,0.00030734595597727184,0.0,0.0018722165250267381,0.0029460420344315182,0.01690934370976543,0.05544609175532516,0.08769980097995705,0.08970611726868917,0.0988006188657868,0.08191674686068175,0.07216601430624195,0.08979626041862415,0.08932822462229169,0.08175570869303889,0.11545037201873087,0.09054350301528978,0.0779922714198498,0.04035166145428806,0.0293867627255549,0.019395008630683545,0.009410575301878695,1
70,6460,0.027487640871217727,0.012181815613617607,0.005161072548307453,0.0015239794008590733,0.005857406329124394,0.004226910264464251,0.013401787229152235,0.08481265746004295,0.23824781973475376,0.43907817328565346,0.41902168408839835,0.3893328886276938,0.3972659479910745,0.3261102497523496,0.36793066436026983,0.48539130276062664,0.4206413604156887,0.43044482758764724,0.3805890673651045,0.3184570379670682,0.22238161684336452,0.1348470632448819,0.07497577600494501,0.03416924216028701,1
71,6462,0.017733228889813404,0.013044878322695306,0.007625733350460423,0.008237041027866281,0.006924109212003549,0.008553966828762848,0.019373484135631756,0.06163554299879571,0.18445129288415058,0.2800402243444652,0.23553868317797735,0.3050526984154511,0.28021975792741716,0.23496786722991367,0.25148799881056827,0.2615620791097714,0.2514192441876107,0.22747907831375477,0.19727421796869127,0.17657112825141502,0.1342320798325269,0.08129014224063566,0.05861478346187648,0.03674285105598086,1
72,6475,0.007979862487078639,0.0006729030987451543,0.0006974751756935656,0.0009444213340396506,0.0030810433533444595,0.001861794992368985,0.005732497766460223,0.03815631792058619,0.10036790507953446,0.147671690870398,0.14448314582909763,0.14931390460485652,0.14322748037750171,0.16445211083169956,0.1764516709479623,0.15897288144689076,0.17886401221119566,0.21821015868454108,0.19563523644229563,0.1514646067849656,0.10179787197844622,0.07026057658579837,0.03804586922868175,0.02254408929316604,1
73,6489,0.001138621472113104,0.0002945321137662885,0.0,0.0,0.0001608873020089991,0.0003410149695327425,0.0008056465718417162,0.007697827541548797,0.015383822239532378,0.02623408936568118,0.027682585326270954,0.03315510352613514,0.02745117026605383,0.024114918695722132,0.03006556754978719,0.025724674705941426,0.031070627244273362,0.031832997909625176,0.025490097056744525,0.013827414943972062,0.012310131786005051,0.007280358568860938,0.0017185267755724634,0.004286038153858952,0
74,6495,0.0029224543910013065,0.0006112131583783985,0.0,0.0,0.0,0.0017243153493820985,0.002611666344129417,0.01582686254037202,0.05161596590064704,0.07945522433718678,0.0811552205887804,0.07868163343826176,0.06690294569244286,0.061439624095776406,0.06800517204711556,0.07124314137041138,0.07353498142366362,0.0947335802670601,0.0771577397384004,0.07421384125352101,0.04080870601899037,0.02928206298187612,0.016537862286981446,0.007726160747873383,1
