cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,h/w
8399,0.0018788187416026547,0.0007861915752272313,0.001854450714392729,1.1623129029341497e-05,9.68786886960875e-05,0.000510893970828087,0.0020107036219766737,0.009069028374480047,0.011546827550983053,0.0077873605078128795,0.00588302095249507,0.007221945487587157,0.0068051984059008305,0.008123341123518117,0.007508844902407599,0.0043591951017348755,0.008915233225095257,0.012288223186192184,0.009964397422887926,0.00935211785834289,0.010642181035563431,0.009922521106300179,0.007128755992937964,0.004393629564064971,0
8456,0.010897339990015591,0.0036670122812778256,0.0002912383553107265,0.0,0.0002912383553107265,0.0,0.003242363678433892,0.011672229867944917,0.014385899215352672,0.012639836014902732,0.013299678019252513,0.009644697465170647,0.010158706077740502,0.01145263164796155,0.018124038748702186,0.012807837072981774,0.017413289072796115,0.016158783876406107,0.01580654723969343,0.017985053655574047,0.01721346195848709,0.01919047855281753,0.023256524727753122,0.0071780844778689115,1
8471,0.0348964832691337,0.020388717588778624,0.059296253976491936,0.05781565273665242,0.05748525288770615,0.057445034163345246,0.0661435229189122,0.09953641916916664,0.07203178725674088,0.08166006338990593,0.06618687915380728,0.08106109470188651,0.07020231898430851,0.05512480952116629,0.14289991211195385,0.12049713833799854,0.07594119197192296,0.0912149925220748,0.11199257121256519,0.1317154872559291,0.10021048018706287,0.11104796748728357,0.1045360524436401,0.10198582986032254,1
8472,0.024638950787201845,0.011303046729853541,0.0017304366866985601,0.0006477169752874993,0.0006788555601621538,0.0020549405232493574,0.014585072371082244,0.13406602635820872,0.07870581436308936,0.09642573902091464,0.09013836037028941,0.11761578516853817,0.10354938368291693,0.06521355729847747,0.3557633381315874,0.28672321750330015,0.13878667662388258,0.14183889015999018,0.219219067922725,0.29800399228239854,0.19324695456343308,0.2098345660103996,0.19400621998414413,0.2122616684253953,1
8484,0.004075346916038892,0.003942709470775718,0.0015705359348577377,0.002952663002164604,0.002111988948245841,0.002510090957564755,0.00535379575216163,0.008945187226413801,0.011670210773501279,0.017593886435829237,0.01619566496030794,0.02027340479274046,0.0130515416768486,0.01586630559912221,0.01239010457233005,0.015556995385756304,0.022475571702292883,0.017811555469715783,0.013719614371324088,0.01122810307186655,0.009347114470164593,0.007835113500429432,0.007962564121904133,0.005896194211904456,0
8493,0.009949776151896586,0.0011993885826712609,0.0009950092413425616,0.0011632444776656175,0.0010276002540023496,0.0015442498037674466,0.006249931292095401,0.020830530696077796,0.025044138474147142,0.021681982388801584,0.033831638049671243,0.0211052986565088,0.020240657326454723,0.024276613585732288,0.01805992939578725,0.02008416317120698,0.020303535133743153,0.019504938734427435,0.01808758366482542,0.0261435918943869,0.027801249683152608,0.022906052193520824,0.01688429394717265,0.009169056250583488,1
8558,0.026360270452250215,0.013818965053589032,0.005624252724175446,0.00492114942900567,0.00492114942900567,0.005707960929405292,0.015629989821577202,0.032219851161049196,0.022576296959634107,0.02393095871252009,0.026767834560638123,0.025554454269644183,0.02796420953433579,0.0244627383921957,0.029254768332982444,0.027736842320515414,0.03520001844825884,0.040049201093020834,0.035902942773620876,0.040289921432726576,0.03623330366231224,0.03712584187673384,0.04502179431752698,0.014117738126513289,1
8565,0.0013041160578686375,0.0008445606177622988,0.00012906546083768855,0.0001290654608376887,0.0001290654608376887,0.0,0.002360361493434462,0.005079823183321903,0.009268270982495096,0.003531935031944242,0.006308655295780945,0.005155880097238865,0.0074361266606162634,0.0037812970042247983,0.004207055467559901,0.007965021028100946,0.007883454675827212,0.005883926714202711,0.00889578488713401,0.009021672980907516,0.014081598796971942,0.008937215722553921,0.008981514159108356,0.003800003448457919,0
8578,0.007229122884493634,0.0033173541283451893,0.001606184324780176,0.0,1.8095755543003224e-05,0.0004989808501840309,0.008152407278251747,0.022994929985436303,0.027322704567512075,0.03671463901661313,0.025222525559029943,0.03725136724595526,0.02565045786898209,0.026564227579374645,0.03333797999166596,0.028309748324370467,0.055436242062159184,0.06911744351911582,0.044455923218834466,0.022031270307597123,0.043799108091115785,0.0429138747614469,0.02971952364837222,0.020111842526632298,1
8582,0.0036869406567754215,0.001103048712884298,8.066623787535941e-05,0.0,0.00025593979477441593,0.00011104182525436733,0.004992813938553074,0.0070266116720309555,0.008607837574883594,0.01131260225170064,0.008390556226614868,0.011454967612484945,0.007373657614729888,0.013515515961131389,0.009685420129291428,0.005462839237848451,0.010282957922166764,0.010885550222040224,0.011367815665706311,0.008902642948961762,0.00886031062169733,0.006571625332082394,0.004493932414414019,0.005555095892647417,1
8599,0.0018729639542838883,0.0007853505560543876,0.00181831094963375,1.1623129029341497e-05,9.68786886960875e-05,0.0005050391835093204,0.002041627250025055,0.008985799823258051,0.011531301043176585,0.007760156772260017,0.0058516444679691275,0.007173004641104916,0.006681365416947915,0.008072654759793694,0.007450031181758762,0.004323225358649433,0.008758293593922504,0.012140591974463754,0.009845029106906949,0.009212598643990585,0.010463253805548408,0.009824390553217382,0.007103654805317212,0.004327965374799274,1
8656,0.007877210495765586,0.00528996457228718,0.0006370613947108218,0.0003686821944515128,0.0036120142431230406,0.000574655639631167,0.009793044502874413,0.022123909892776322,0.035869863220919666,0.03930986841741465,0.027540972362985104,0.040594519005699915,0.03781218094028213,0.038131820420353645,0.05377723767677665,0.03778070755614323,0.032393723786681525,0.03780863984880299,0.039988854412366964,0.03171516087285743,0.028790561222238477,0.027664748877682853,0.02892632522138187,0.01189184092824301,1
8670,0.06323971942798086,0.02938892179985046,0.15445886865610586,0.1539977974063861,0.1531760587810123,0.15337897946101814,0.15565176955797466,0.10668421162311569,0.05341625879300322,0.05666763616548439,0.04270594209100731,0.06245033066195505,0.060669617491453796,0.061937247012333704,0.04231736162433175,0.023923108580234026,0.029134905255919025,0.042142280471744675,0.03947983378802567,0.02542873302476019,0.028300401166200875,0.03284267901037646,0.025706855888110006,0.02791392385903395,0
8671,0.06872649994975119,0.029238671222328358,0.1549887316007863,0.1545260786706347,0.15360077281033152,0.1536018532051805,0.1568358860578897,0.10853020962858705,0.054300717414198126,0.059006898995152525,0.03987147761507304,0.059842829022376254,0.060623071826840506,0.06012132831219278,0.03933176535309308,0.023233042368174594,0.02926892227816958,0.04295182396210644,0.04387021529540357,0.026116702494596848,0.029953739038372326,0.03674410691302752,0.029355921242595038,0.03284662940911558,0
8686,0.005327095400273873,0.0054243405920094455,0.002467055098464208,0.0025791939665762175,0.0016820830216801412,0.005170768080409847,0.0038538906859117597,0.01624740560353892,0.008191821693275845,0.017844125444975715,0.017158907251475827,0.019588713594249713,0.016099280971463497,0.028086401020705993,0.013024167451136671,0.01691354020685877,0.020479888010561362,0.015583776912573719,0.018806763578308162,0.012999399539857478,0.01601794168198093,0.017798271004497438,0.01590580281386892,0.010377021009823979,1
8695,0.006648829355070078,0.002032984163731885,0.003415139933716647,0.00010017679420956907,0.00013924705100293715,0.0003395369719273845,0.003025616911166237,0.012441999614219542,0.022270330703819317,0.011205769522218493,0.017890548384100084,0.014143968482480427,0.01721770300074155,0.019542706013648672,0.012186889273125128,0.00955602767512821,0.012509126049204712,0.016238420951059405,0.014221740786668916,0.01251732313727159,0.014970121184089646,0.01389964176268941,0.012282878126613092,0.004738733072292496,0
8758,0.02379747907355267,0.014001619726624347,0.006750880133792012,0.006264493224168299,0.006966089603901997,0.006195134444938703,0.019272584084041134,0.03797533906801499,0.029411731218459063,0.027133340962406962,0.03297755110402131,0.029925648821034108,0.03492529961388971,0.03274222027831197,0.030217498348242153,0.03397686082497279,0.041346148023702955,0.03922197483863771,0.03276041845118362,0.03883817353884728,0.04019126803901918,0.04061013353654439,0.048834542226108404,0.02904480504536093,1
8763,0.0013658009197971687,0.0014135582721306868,0.00032949348900920047,0.0,7.140873300353732e-05,3.087798188877977e-05,0.001939947077081201,0.01163237014276096,0.007187383132487526,0.004006013287023435,0.005401488735694148,0.011239143290106486,0.010549852594524017,0.008906852511823984,0.0069797369847130674,0.009601798452282656,0.0099537524320578,0.00636865440885958,0.007743206263512031,0.010046685547488606,0.0088260390942294,0.009390788806012877,0.014491412303830241,0.005876096800374019,1
8779,0.0020362238770687837,0.002587898810216687,0.002218198980185732,0.002218198980185732,0.002033349065170254,0.0024030488952012092,0.0029575986402476423,0.009340404748346211,0.010637919468687407,0.010891025432654267,0.0032772525216346665,0.005806480947511836,0.00680686410462125,0.0068212381641139,0.00787022986391798,0.005618756220597826,0.00835008343288165,0.00655019282542154,0.006052876058765361,0.01108018756551754,0.015277377444381804,0.0087712666175058,0.006858347459214446,0.0033316106881263923,0
8782,0.0029580012836297504,0.0011484843722676318,0.00047645427034088267,0.0,0.0025172117896657903,0.0,0.0062531039493976355,0.004910320847094782,0.00663297272839421,0.011997126114374443,0.011097936469470809,0.014027662634573133,0.0075953018145273185,0.012076124838711863,0.010024688867058961,0.007745165718494013,0.01703090909713884,0.016320542130955025,0.010928590274323143,0.007894234372683545,0.01228364394942517,0.010752660682609666,0.005481802277470164,0.009113583924580447,0
8794,0.009888320054995002,0.004473140738052138,0.004528951762085152,0.0014393352457756888,0.0015695818308882243,0.0014387833449808721,0.004538646264475378,0.0121585064548717,0.030597673663463144,0.017164521292235706,0.01714988947198405,0.017577036100848473,0.02126248752431529,0.02143516507607052,0.018564130155026455,0.020344711511549866,0.018321106865610164,0.020397201772573353,0.01947756801622062,0.023760301511126687,0.015536563666900382,0.016461665415387728,0.018789378989326935,0.011323744303667413,0
8860,0.004141319054490814,0.0008202911810936701,6.074070431467017e-07,0.0,0.0010041415069461427,0.00102353479937323,0.026493859167708893,0.03552688282910513,0.018150232010176456,0.01779865130400518,0.019740086616819447,0.02434685888816996,0.03424236649791226,0.024830120826717456,0.02477832975967902,0.01673221222547792,0.043648743122053475,0.023425322202254864,0.02184897226532123,0.0682559156831419,0.05575386970367898,0.02471091572768973,0.026239167125613094,0.019739826835887864,0
8861,0.003095072777484824,0.002336221523319688,0.00048547348855087444,0.0,0.0006979677825600136,0.0009468177846850892,0.02567889182153033,0.03536279671615442,0.015105529344833014,0.015179057900773198,0.019608744205573875,0.02244228190147203,0.03211124082492247,0.019712555206906894,0.023445036134328502,0.01305375112657339,0.03705127221830836,0.021235533835815223,0.02482754421236925,0.06774787387045349,0.056934864610437355,0.028098282272584114,0.025313874835754962,0.011761167999024057,0
8874,0.04377963193590229,0.007839204154861067,0.0030381726432451303,0.002393381823872596,0.0018195313680862508,0.009500483470403354,0.009304293109708994,0.07840796251188918,0.0703442287500217,0.08474135293108431,0.06744355664618569,0.07814529793336472,0.06328246525516612,0.08489174335016206,0.0733462009169291,0.10266295332187085,0.09489390367247102,0.09870176275416287,0.08406907091354508,0.1223605619624884,0.10494307773391406,0.10749529091750593,0.07651920327465707,0.059913618385832236,1
