Dataset;Acc1;Acc2;Acc3;Acc4;Acc5;Acc6;Acc7;Acc8;Acc9;Acc10
smsin;0,8;0,8;0,775;0,7;0,775;0,825;0,675;0,7;0,825;0,675
smsout;0,65;0,725;0,775;0,725;0,75;0,8;0,725;0,725;0,775;0,725
callin;0,825;0,825;0,85;0,65;0,725;0,725;0,725;0,675;0,825;0,7
callout;0,8;0,875;0,85;0,65;0,85;0,8;0,625;0,75;0,825;0,775
internet;0,775;0,7;0,675;0,625;0,775;0,775;0,7;0,675;0,775;0,8
