Dataset;Acc1;Acc2;Acc3;Acc4;Acc5;Acc6;Acc7;Acc8;Acc9;Acc10
smsin;0,875;0,8;0,825;0,65;0,725;0,825;0,675;0,75;0,85;0,725
smsout;0,675;0,8;0,75;0,725;0,75;0,8;0,725;0,7;0,825;0,725
callin;0,775;0,8;0,85;0,65;0,8;0,725;0,625;0,7;0,8;0,75
callout;0,775;0,875;0,825;0,725;0,825;0,775;0,6;0,825;0,825;0,8
internet;0,85;0,725;0,7;0,675;0,7;0,775;0,65;0,65;0,775;0,775
