Dataset;Acc1;Acc2;Acc3;Acc4;Acc5;Acc6;Acc7;Acc8;Acc9;Acc10
smsin;0,8;0,875;0,875;0,75;0,725;0,825;0,725;0,75;0,75;0,75
smsout;0,825;0,825;0,775;0,775;0,725;0,8;0,75;0,675;0,875;0,725
callin;0,8;0,825;0,875;0,675;0,875;0,725;0,575;0,675;0,775;0,75
callout;0,775;0,8;0,85;0,7;0,825;0,725;0,625;0,775;0,775;0,75
internet;0,775;0,5;0,725;0,625;0,675;0,725;0,75;0,65;0,85;0,75
