Dataset;Acc1;Acc2;Acc3;Acc4;Acc5;Acc6;Acc7;Acc8;Acc9;Acc10
smsin;0,64;0,84;0,64;0,76;0,68;0,76;0,76;0,64;0,75;0,583333
smsout;0,72;0,72;0,92;0,76;0,6;0,8;0,64;0,52;0,75;0,7083333
callin;0,64;0,76;0,72;0,72;0,56;0,72;0,64;0,72;0,83333;0,7916667
callout;0,76;0,8;0,76;0,64;0,68;0,72;0,64;0,68;0,625;0,625
internet;0,68;0,68;0,8;0,72;0,56;0,64;0,6;0,6;0,7916667;0,75
