Dataset;Acc1;Acc2;Acc3;Acc4;Acc5;Acc6;Acc7;Acc8;Acc9;Acc10
smsin;0,76;0,76;0,72;0,76;0,72;0,76;0,72;0,68;0,75;0,54166667
smsout;0,6;0,68;0,76;0,72;0,6;0,72;0,64;0,64;0,625;0,66667
callin;0,76;0,8;0,72;0,72;0,68;0,68;0,68;0,64;0,7916667;0,583333
callout;0,76;0,68;0,68;0,64;0,6;0,72;0,64;0,68;0,625;0,708333
internet;0,72;0,64;0,88;0,72;0,68;0,68;0,56;0,68;0,75;0,66667
