,cellid,internet0,internet1,internet2,internet3,internet4,internet5,internet6,internet7,internet8,internet9,internet10,internet11,internet12,internet13,internet14,internet15,internet16,internet17,internet18,internet19,internet20,internet21,internet22,internet23,hw
220,5363,0.05275558066152283,0.03961567255542521,0.037305376120841845,0.040099871396678304,0.03987390147658748,0.04016192689811832,0.05763222000271433,0.0872308035512856,0.14723415993171848,0.21891542985882528,0.25597569359988076,0.3191543209399242,0.35059463665355384,0.33355533972256307,0.3088923195097898,0.3068033613368018,0.279880570340155,0.2849075677847223,0.2562197054302214,0.19742295359908135,0.16138247017582838,0.14400447754740628,0.1277743033612079,0.08824513743966342,1
221,5364,0.02377528107457302,0.02266566912766968,0.022810020604881465,0.01974528155807625,0.020695231200517042,0.02095873069802659,0.02585523091960505,0.03410785202603002,0.04807296564306508,0.08480889408263097,0.0900006155593493,0.10762264469445199,0.10892930161752364,0.14307396939679762,0.12287122170660368,0.11010333612908353,0.10335790859013314,0.09998344914729358,0.0921127793431108,0.07471093514837485,0.059356376822568835,0.048699334165564226,0.041895393042107036,0.030829917283573947,1
222,5365,0.011846146553033175,0.01215267466238111,0.012017503480430828,0.01219640311185738,0.010388382259463766,0.010467490588038383,0.01177749282578031,0.016185317378230164,0.028462026973000727,0.03966705253204864,0.03854669759846109,0.037968254417889175,0.0497178602423893,0.050364479223778444,0.043272830092278364,0.04621479978390938,0.05217255221258196,0.03860128160135862,0.044416565231638616,0.038667101252095985,0.02819584702556929,0.024506655584093474,0.019858620521525677,0.017085281189401585,1
223,5366,0.048873052652538225,0.03790605831234913,0.033762042429915234,0.030627315146556318,0.0309411662106785,0.03248290145178596,0.03969620008057722,0.06367465550686603,0.10265606197795857,0.15149794422776464,0.18751088190297746,0.14994584260741012,0.14543073613140206,0.13591784202233928,0.12854861818355773,0.11318793400475019,0.10869118829089912,0.09381131445112598,0.1073506465545658,0.0970590439013685,0.09046518401472195,0.0855148283177552,0.08290962665888124,0.06636260435335682,1
224,5367,0.20657698124092339,0.1867484736315834,0.14901062700777537,0.138827753598042,0.13179057175554248,0.13083123757040344,0.14159912483280504,0.21142318396405052,0.3002304414415964,0.4043700697507394,0.47350705362794865,0.39505068759705664,0.38675109099244437,0.35692556348656607,0.3330632865755105,0.3573020412133654,0.36160335407377575,0.2912707145132266,0.31839566753628235,0.3184504952155113,0.32930603843600686,0.3499056247452578,0.3571218698602196,0.3150077444612478,1
225,5368,0.19108150581676045,0.18244214440351744,0.15217220854459254,0.1409527310324851,0.13702520661318598,0.13329031806109531,0.12558637296080177,0.16579143066031718,0.19256983315263007,0.2131245512093592,0.20886184033614574,0.21060957780772174,0.2063880887790459,0.21329679069708488,0.2192141362161702,0.2663159379749535,0.3075358462661152,0.22947599263639631,0.24019468915253556,0.2515706001420701,0.28551287285771615,0.3142544614540339,0.3261575922369476,0.33561140019383673,1
226,5369,0.14158896901441964,0.10204784473708939,0.09153743332850589,0.07961448139475909,0.08110660677907892,0.08054004944688783,0.08191339920131029,0.11252880690621846,0.16419045333539833,0.146127970811523,0.15025821163830802,0.1541223540640821,0.15127796586802517,0.16634584451137002,0.17702486744198986,0.16213598817467542,0.1774706881253213,0.17339698406348167,0.18177196246874877,0.1641584986156215,0.1813616383614667,0.1780435610760732,0.1766726766888953,0.18940929295986852,1
227,5370,0.17073925809981935,0.10905447046912072,0.09038640842772042,0.07474828267780238,0.07332650353148258,0.07036581672492741,0.08812785939354491,0.11533597625746295,0.1908572068437967,0.14373796539218123,0.14678682727048722,0.1573713832371375,0.15601796896145792,0.18964221813971346,0.18951682425579397,0.2034817932452872,0.1885286078567439,0.2002719310309212,0.20737994313218036,0.1763843717788486,0.18156225371262968,0.1585614514933623,0.1486020992396415,0.16250158956550956,1
228,5371,0.10437745828789882,0.08197485143161981,0.06784330153874539,0.057358702166407385,0.054720322473395436,0.053750506677616106,0.07134107985655196,0.09589670187610838,0.14263564610011775,0.11483790233766515,0.1150253314634096,0.11873926074500744,0.14581243306499736,0.14726631234895798,0.14045617071119965,0.1488584516422747,0.15386528632937202,0.1734680225629238,0.15371540678411108,0.13528293442380343,0.14425130583397536,0.1271191152599119,0.12165737869282649,0.11589308519581958,1
229,5372,0.12821623083364136,0.10101744453145706,0.09175859654853513,0.0849219631938161,0.09627227571638244,0.09261337789326073,0.09830049696467327,0.12888212436342034,0.2168230859243464,0.20205266461466267,0.17155259824097077,0.15438761284543445,0.19444250808656605,0.18184216519019702,0.15766722519328083,0.14810066038608716,0.15163885123048632,0.1632391050067226,0.15139707497071764,0.14406860772342395,0.16755211384412363,0.164214677476874,0.14754215165471898,0.14582721093778298,1
