,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,h/w
0,4263,0.005281154736807022,0.0025570897172655766,0.0014378384207830981,0.0028158586659543334,0.0015556111097196107,0.0012734764885964612,0.004725501787986443,0.021972708255750047,0.057097860537419054,0.10285608145467133,0.11364925883443185,0.10625061399643954,0.10098917585979252,0.08507993251270775,0.10564077534275022,0.10726663602906486,0.13218168458729193,0.13203585765912532,0.12753450656520465,0.10491231329538621,0.07286938006866113,0.05277752527019215,0.03875005925242978,0.016678022540638035,1
1,4264,0.021773308440896203,0.0849780982264014,0.10864208744161874,0.1913426495611578,0.10301376052556521,0.09916015689294995,0.04853198697445979,0.02105205223184504,0.061482533561121086,0.17928864039855893,0.1374812653773556,0.1649764535154957,0.15577389731446928,0.0987147470343583,0.11574198194585524,0.1300898860403959,0.13242221942013127,0.13246402570598456,0.12042805090015447,0.09636146964128052,0.07318636756675029,0.04156035454712725,0.035830551586339444,0.00979070389414722,1
2,4265,0.03848370984919355,0.11960227969315163,0.14944348841177355,0.2601016264826057,0.16281401498128323,0.14408818842042204,0.06483029283131884,0.028732974935789104,0.09703036111628195,0.26119886246914753,0.1915238323729446,0.22393963287724344,0.20951842193210482,0.14900088883993667,0.1660789182776968,0.17327995116364164,0.16785242719355697,0.14656753878306833,0.17181881842160013,0.13447413476761869,0.08270388777158542,0.05825475403004801,0.030540614092479528,0.013573574563081137,1
3,4266,0.022196239766949483,0.04553890416867655,0.0577113755430318,0.11150213815300858,0.05742937904829664,0.048625993447503575,0.021322919796625442,0.03592277046584156,0.13886244845237244,0.23148124070354575,0.22266400146916965,0.20775749766779555,0.17991597505975246,0.1717477559451403,0.18963865534109114,0.20223965513773978,0.1928234426768766,0.2213907709734868,0.20607342665129694,0.17723532135027323,0.10560366652329206,0.08410567480032692,0.04516073728667514,0.02119016104230176,1
4,4267,0.014652789920580426,0.02161701609753456,0.02912305009046158,0.06853781001395381,0.01932087311150144,0.014465809744552487,0.006824479258241262,0.03644070379479921,0.15181602489417395,0.21661573285618088,0.22862438629263088,0.19239416261646208,0.16520888179305632,0.17299538671279374,0.19323719789074542,0.21040103466717436,0.19360119091550365,0.2509130319376917,0.20920705952768612,0.1873391189512511,0.11082240062545982,0.09182809966027414,0.0508735486244095,0.02314183609950928,0
5,4268,0.007109799877365002,0.008743128592343472,0.007604680291707869,0.014818198371095692,0.0064460395946800714,0.0043688031741652335,0.002117272587227728,0.01948307263822454,0.10626984298630053,0.1468748125969337,0.15557168800669469,0.13456733916707075,0.12487016728147875,0.13449248455390134,0.15348271803156058,0.1544370164683578,0.17234044044124858,0.1817542637777225,0.16335664042441003,0.13422209618341147,0.10801281226592518,0.06203384930023251,0.038156059803522005,0.019436839824617885,1
6,4269,0.004430482772488931,0.005363259489478493,0.002464831563754478,0.00027906346329986155,0.0031081968874537695,0.001155433690235826,0.0011099569821866942,0.01624334391719022,0.0957279272309278,0.13081887086081354,0.13171017489027997,0.11518943124299698,0.11319338329178052,0.11678086506364811,0.13741191300044409,0.1385774524791569,0.16094160525957713,0.15816501535416966,0.14999411909522503,0.12102347003012957,0.10922461473519696,0.05702926854055738,0.03623119028304728,0.017558281545114025,0
7,4270,0.004335458961882635,0.001628005259144735,0.0011364195160301323,0.0007556593154266236,0.0017898342465890893,4.67325817856751e-05,0.006416059416853298,0.02076023482091225,0.052651879345631036,0.07076328239532594,0.06294760432092,0.06818556820066186,0.058565682380604216,0.05143206780330842,0.054683637799706135,0.07063531098329712,0.059172052836216,0.06840632232377658,0.0687531001612707,0.06250874567685966,0.05148287964378988,0.02736607086041676,0.017230692577214816,0.009946800666033415,0
8,4271,0.003847789618946163,0.0010645241309357532,0.0016403410508436494,0.0013411376739343771,0.0007955339586852023,0.00013670079554921585,0.006907887640814046,0.020297857665019927,0.05758201582188321,0.06865721658166742,0.06742598528269116,0.07015458835311711,0.06255892765068537,0.05231624131256409,0.04625605168264458,0.05946316497177466,0.06734527814024863,0.07034954918128322,0.08139298783609977,0.05957249082421103,0.05171358873319186,0.02965830313269376,0.020509307517839172,0.007700869810983975,0
9,4272,0.003798252784203365,0.0013010304142023147,0.0009913273445231597,0.0007327371530328676,0.0007026236603837703,0.0007026236603837703,0.004924655682686331,0.014071979847445792,0.035860536409006404,0.042898277706471755,0.04518893707821558,0.04398745781924088,0.03948296148522425,0.04485320562687979,0.03216863478515141,0.04034725095237895,0.05779850474978548,0.060738494064803306,0.059218162227744564,0.04284933977699147,0.03277296422086951,0.02055966884689538,0.019403604142083534,0.0045274207353813555,1
10,4273,0.003058572486684796,0.0011220436750140046,0.000922007278413216,0.002742782535117649,0.017771464375893747,0.027327848162521692,0.03217865948175268,0.03655379023016694,0.04031933561075515,0.053870826757028076,0.047731458951938095,0.041569299102613005,0.030575283208935135,0.03312735183250556,0.02521744419157789,0.026519980060522832,0.040124923702891946,0.04001340058525013,0.04041037936753201,0.029220060342206013,0.02104721536033725,0.014669888400867024,0.010624849597503304,0.004248728023765416,0
11,4274,0.0015496640040289283,0.0005050552933127233,0.00284488715267998,0.006804696952530448,0.035065448016124365,0.05259620753409351,0.060968811639489515,0.07077669624111425,0.0644400136117378,0.08110382955664956,0.07091678372428042,0.06418218064941433,0.03755639410844041,0.02491007546906062,0.02538212297625142,0.022346498565259144,0.024375197315928816,0.02419183110921542,0.03384915247339588,0.01886836122749343,0.011044061616831937,0.007229959737883544,0.00366308117954323,0.005165262118107861,0
12,4275,0.0023262223115134493,0.0004039359557268766,0.00307167385270671,0.0057122063243593675,0.02468492234867815,0.03551495950819203,0.04483790071191834,0.05799581432010359,0.05987803739250908,0.07673493403651004,0.07071107818741146,0.06639532368844121,0.044330198812294976,0.033930780472595845,0.03583285087257992,0.033286230016906046,0.034030201290400054,0.03571369067926975,0.04633914362817227,0.02913790098585162,0.015423659020341112,0.013798887909772947,0.007050221666080298,0.006793350530022609,0
13,4276,0.002746652336459971,9.787645459737268e-05,0.0013244884632579328,0.0015676820268303309,0.005654096681014356,0.009673404494209968,0.01356458984656404,0.021249353255412422,0.03653631470686452,0.058221009798500464,0.05156684940192069,0.05574377714217239,0.034589593136077144,0.04197892879503573,0.05097309207574053,0.04361174332692233,0.0490783801803455,0.0606130784832993,0.0610485251547152,0.04194336067819029,0.026035609152777375,0.029555723827793746,0.013474187930599726,0.009601351267442087,1
14,4277,0.002644389997014305,0.0,0.001297375638465494,0.0018163258938516914,0.00674635332002057,0.011960675233924205,0.014864540358631613,0.022829016587883406,0.03786729246680662,0.06408302354746545,0.05646700549239184,0.06399291234811894,0.037020331805338855,0.04426138009713467,0.05898518340274146,0.0500734819382603,0.056542591725144024,0.06884425112148423,0.06837113207066703,0.04459531330495275,0.030196841042540407,0.03234385670512656,0.014395228823328726,0.010605622787182486,1
