,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,hw
0,4263,0.009145057668263009,0.009179273205227404,0.009537568559998225,0.017103543628538605,0.008898754727008771,0.009087156606469811,0.007357219273237582,0.028557297338576856,0.080883536824538,0.1096207431426939,0.13406560650636387,0.15463263037432315,0.1366900421164972,0.10452693921796395,0.10781457205937788,0.10089388225408262,0.11671510896850007,0.1284804316463145,0.11924556351155191,0.10864900041319818,0.08698375194864481,0.04912757555683862,0.026816911103223266,0.023578804095245424,1
1,4264,0.025650478938043144,0.07846216075844137,0.11215831622062444,0.18192087178059269,0.10079321801072652,0.10079229169141375,0.04627806843212211,0.026205286792976405,0.07541443171121066,0.11687161394662232,0.12938329734361764,0.15204507530802205,0.16112251930030577,0.098599166314137,0.13736781354511085,0.11052577046134426,0.1256976706118598,0.13075422260911587,0.11745222169503725,0.10087873461214314,0.07626603596302328,0.04412215129020264,0.019240746378517026,0.015160356545612784,1
2,4265,0.03461066272732164,0.10311146036111082,0.14327317502379583,0.19662655140822555,0.12266521574174961,0.11488151790168281,0.061728950142220296,0.03520074601728587,0.09614368144733959,0.13293059637749574,0.14686673473684528,0.18090970233913942,0.17569139481769877,0.12324017996948994,0.20040478684535287,0.1773058695680265,0.17879735923217438,0.1607106155578729,0.1472277096762628,0.1289954396835969,0.07892251072276199,0.05309115724640467,0.018414327091082875,0.014609636490296321,1
3,4266,0.01921730530860074,0.04102024524225746,0.04225226786027302,0.07540480456087784,0.046604226391809896,0.035042184522874394,0.02803343376000171,0.046235191300405785,0.11147018318810058,0.18318412052522542,0.17951825741726934,0.1962539946740061,0.1900417916061655,0.14731347764607264,0.195182755511911,0.1923710722022195,0.16863480470966227,0.19059573436498264,0.1820499993915509,0.1571971349563713,0.12073014244916389,0.07635663721461682,0.04557965030649309,0.0262699609076118,1
4,4267,0.013183330596797245,0.02012572046277,0.007701596747948261,0.041127819803780295,0.023862561851756385,0.00882761834856862,0.016543266684650188,0.048966195928607875,0.10847598506802487,0.19858351921779233,0.18708207571216356,0.1898850700529606,0.19377140901786136,0.15108027926018613,0.18632921350756998,0.18731322517084084,0.15226116188842143,0.19891335587141842,0.1902938652837304,0.16388295127522287,0.13881429821142618,0.08367126114960131,0.05765972732340973,0.03002463284751362,1
5,4268,0.008215111474404405,0.006379710883767496,0.0017491714204717409,0.008796931026757982,0.005686700437715954,0.0019079355451038244,0.006940831580516947,0.021718275683016562,0.063958888435738,0.12035670461680772,0.12230909937841583,0.11969711216511582,0.12371755226828324,0.11080657599266391,0.11486570483215655,0.11688881259518712,0.13100455624359097,0.1338013239809737,0.1476605568328234,0.12930180245018474,0.09759408074100594,0.059513220559845106,0.045344958871172354,0.027505260875065926,1
6,4269,0.005114325063559889,0.0028397602109607105,0.00043685044719948737,0.00011279779963400979,0.0008866411608622394,0.00012427926460011198,0.003268527525688174,0.012317276691139708,0.04198030904323144,0.08437411746806167,0.08776911619250813,0.08534622759404308,0.09861594417699712,0.09443687831787066,0.09050667611046348,0.09457216277124945,0.12277399218168189,0.1090918352705527,0.1297413069316992,0.11667259697395425,0.08399521961187127,0.0534550165075306,0.03652168056837479,0.02578010557683052,0
7,4270,0.002014829050781422,0.0022664461059089896,0.0018578942352734393,0.00033652841149087626,0.0006121305601211893,0.00033652841149087626,0.002245271581632938,0.009315610777828998,0.03182800986055539,0.048585542123560976,0.04063392499821318,0.05005145915455136,0.054578459712548155,0.043984377497042454,0.048618739379229524,0.05420920240884404,0.06037511350860908,0.07078983379691486,0.09793294104027489,0.06876558116370036,0.056193462255248856,0.02781566907454208,0.018641877244558677,0.011193700822067207,0
8,4271,0.003377064565588667,0.003254462721672834,0.0030438225649711183,0.0005972677392918741,0.0007313297518986057,0.0007190255225589124,0.002695584575309473,0.013374074233043097,0.043702689266048485,0.06601172342135014,0.05102211750576229,0.06642663517357135,0.05397084415551593,0.04838194844932412,0.04864834269639912,0.055914206177067986,0.05604432642920024,0.06770497796182698,0.09590552295002897,0.07010596514477953,0.061022730722035054,0.030872752379476627,0.014372184566012825,0.014128679191842287,0
9,4272,0.005352140697392535,0.0014866118048706349,0.0024013850355584267,0.00031787266011135015,0.0003750179653059368,0.0009533305922289837,0.003817665206962124,0.008003688659582628,0.03266947650383603,0.05379589099866534,0.03674852600781745,0.05472443243193012,0.034754151710022434,0.03889622311461641,0.03505475843971335,0.0386990069489789,0.042097936253376496,0.05352516182143756,0.057230960458644266,0.05915863807730232,0.06714138751421167,0.045546283829853006,0.013632334103776048,0.025583690140634364,1
