,cellid,smsout0,smsout10,smsout20,smsout30,smsout40,smsout50,smsout60,smsout70,smsout80,smsout90,smsout100,smsout110,smsout120,smsout130,smsout140,smsout150,smsout160,smsout170,smsout180,smsout190,smsout200,smsout210,smsout220,smsout230,smsout240,smsout250,smsout260,smsout270,smsout280,smsout290,smsout300,smsout310,smsout320,smsout330,smsout340,smsout350,smsout360,smsout370,smsout380,smsout390,smsout400,smsout410,smsout420,smsout430,smsout440,smsout450,smsout460,smsout470,smsout480,smsout490,smsout500,smsout510,smsout520,smsout530,smsout540,smsout550,smsout560,smsout570,smsout580,smsout590,smsout600,smsout610,smsout620,smsout630,smsout640,smsout650,smsout660,smsout670,smsout680,smsout690,smsout700,smsout710,smsout720,smsout730,smsout740,smsout750,smsout760,smsout770,smsout780,smsout790,smsout800,smsout810,smsout820,smsout830,smsout840,smsout850,smsout860,smsout870,smsout880,smsout890,smsout900,smsout910,smsout920,smsout930,smsout940,smsout950,smsout960,smsout970,smsout980,smsout990,smsout1000,smsout1010,smsout1020,smsout1030,smsout1040,smsout1050,smsout1060,smsout1070,smsout1080,smsout1090,smsout1100,smsout1110,smsout1120,smsout1130,smsout1140,smsout1150,smsout1160,smsout1170,smsout1180,smsout1190,smsout1200,smsout1210,smsout1220,smsout1230,smsout1240,smsout1250,smsout1260,smsout1270,smsout1280,smsout1290,smsout1300,smsout1310,smsout1320,smsout1330,smsout1340,smsout1350,smsout1360,smsout1370,smsout1380,smsout1390,smsout1400,smsout1410,smsout1420,smsout1430,hw
307,5770,0.022438336224177836,0.02423911134412953,0.006765225689193688,0.038712666486585466,0.024687710160079986,0.018142764342846507,0.007959747369719961,0.0018471448355659539,0.002570765127152344,0.005362309385949318,0.0013111669938956842,0.00627067162940628,0.0009096833615513301,0.0013111669938956842,0.0011464497789073838,0.013209093707150333,0.0011128262265759049,0.0,3.362355233147889e-05,0.0,0.0,0.0,0.0,0.0,0.0002405042171810752,0.0018485463866016552,0.0,0.0,3.362355233147889e-05,0.0006685391367278378,0.0003678600800128749,0.0,3.362355233147889e-05,0.0003678600800128749,0.0,0.0,0.00722037953501923,0.0011128262265759049,0.006451344864349491,0.0,0.004663042582707108,0.004592725011296542,0.014066135766584005,0.0033367743742055236,0.012287283675871296,0.01730538790498302,0.06707946369208743,0.07408992301981294,0.03846615270349014,0.025960208589965804,0.038070664727524996,0.04057533748041999,0.03118193784293481,0.06797752675149332,0.06756116495097392,0.0545031500624361,0.06364151910800298,0.03894493984792421,0.029371965822710976,0.07791729182845902,0.05180833133098889,0.03218739044534691,0.05052765182168841,0.03987111848494359,0.08024972867534774,0.06413614890618245,0.10293684988331119,0.05769829058300651,0.049375724480392166,0.06444123884888957,0.07446170053611158,0.06416179945887136,0.04834656497416795,0.07013833623997133,0.04570011811376489,0.06241302138376871,0.030861257583635757,0.04864761311987208,0.06178569632421862,0.06708263489129086,0.05808074455827633,0.02960851407979076,0.04758960382245056,0.06009167099982248,0.07924655223992731,0.03654362795209991,0.0633513878139403,0.06447444014855848,0.0721586141055223,0.061355343276155806,0.04777832392577186,0.08114555904726266,0.037607272814854764,0.035616301502605356,0.06315030624881571,0.06829268626374567,0.06343487393345666,0.05005016802270774,0.0386782699214777,0.043729587461201154,0.03926518074019835,0.06416641866924862,0.05385577802594637,0.05893495032896731,0.04114659583076261,0.050537015005458895,0.05888633243653919,0.0773259805962474,0.10599101736216698,0.029123881149438983,0.06908887480454276,0.04948674599870357,0.06111410941024934,0.08444515484018988,0.09188376111839801,0.06113851336519137,0.05523084118205329,0.03493424588570413,0.055500695284787266,0.04131483998207526,0.04028909689856813,0.05000283830830011,0.09065772282836135,0.04968902241070101,0.03467964908523674,0.06673980210196001,0.08554931479670586,0.07853890727611658,0.07432691020969208,0.04189540664949356,0.0898449052944979,0.06149574341120079,0.06365064754796348,0.038691207608747086,0.057234040621105195,0.06162382585697304,0.055080338154530124,0.027848223082733676,0.07494007634413877,0.03533792392067202,0.04517604831136595,0.04371489614498465,0.049345211728870866,0.03039255164667462,1
308,5771,0.012842071529655667,0.015287762507319575,0.004169487908600716,0.019881602167260384,0.0067357402922289715,0.011917542821761848,0.005785603112235998,0.0,0.001726007473828169,0.000941188494605011,0.0,0.007207820240688423,0.0,0.0,0.001726007473828169,0.001726007473828169,0.001726007473828169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001726007473828169,0.0,0.0,0.0,0.0029245090686199596,0.0,0.0,0.0,0.0,0.0,0.0,0.001882376989210022,0.001726007473828169,0.00446401488879032,0.0014162289305794085,0.013848912427481826,0.000941188494605011,0.009807670190842823,0.003534958236390827,0.005337260413885735,0.021682944753794325,0.020740072495500236,0.03283543325567047,0.02733774117820229,0.019594351513693094,0.025277624655939173,0.01835071746140045,0.02155565528798235,0.03258138391187918,0.03693647718146058,0.03958598360019306,0.03628541026451475,0.022225966810464737,0.010240542002090491,0.03594503133361823,0.05492868720128461,0.02963370007347853,0.029013709202517324,0.025413024688728792,0.06502935114895399,0.050428723745399695,0.07046683097491656,0.037310812040284524,0.040224925055434325,0.024511079286368167,0.03603943563915087,0.040915073140944516,0.030071515218532466,0.04015780624363109,0.033462806242552344,0.04678009313076761,0.03008186539617687,0.028438928031387315,0.03788043344358255,0.032755197876353795,0.03273663642222932,0.018983088615765264,0.018339207760146168,0.04410010648552004,0.0615360450660228,0.020164965147598052,0.03308034070682627,0.02820987758669231,0.08248434759425338,0.06179107317296082,0.03642002193277479,0.05802097345476382,0.02727391656821787,0.0266852173591425,0.03944607581575936,0.04023998055323633,0.02377196322545125,0.04147983275244643,0.027709778020812256,0.019445144339616045,0.015872197896339663,0.04117188629725487,0.05322975090598964,0.0516295516996567,0.0483236223283379,0.05580750345684041,0.04728969514490709,0.052520001937647845,0.087969492095315,0.03670630346134934,0.0586323084876624,0.031125488617322672,0.05975647222477785,0.06280572738953799,0.07920738873542854,0.054597558491444986,0.0610772976183148,0.04245401942110264,0.03516500491659487,0.023325005660495578,0.039393168151190164,0.04246983774881336,0.0544081464183705,0.024207116336913113,0.03903869157424684,0.04726901270532012,0.07773695857305181,0.05262805352332464,0.032455094509727,0.03878424695107943,0.0709611402021295,0.03663744271159021,0.03058398360751925,0.027640514651867884,0.0444655265606407,0.03544408111960636,0.022931751661755418,0.015316685636062453,0.051295010777201784,0.03251474672797664,0.033022724343282454,0.044359292201421374,0.04390899265708073,0.03238532619405318,1
309,5772,0.008372905822954618,0.011923432163059845,0.0014993012144276293,0.004499424738828558,0.0008198458689235843,0.005195017135526221,0.0017387430992710075,0.0,0.008041428064804613,0.0001300403545042249,6.502017725211245e-05,0.0011169999531951017,9.753026587816856e-05,3.2510088626056105e-05,0.0027898570473855046,0.0027248368701333924,9.905136142383919e-05,0.0,0.002690805685961666,0.0,0.0,0.0,0.0,0.0,0.0,9.905136142383919e-05,0.0,0.005251571017419107,0.0,0.0007459966183018282,9.753026587816856e-05,0.002755825863213779,0.005251571017419107,0.005251571017419107,9.753026587816856e-05,0.00029259079763450615,0.00016255044313028103,0.01063470348488811,0.0024968810563864643,0.05913700430294955,0.021008105609767323,0.0015776023458605266,0.0023856883561489965,0.017138416330147014,0.007499147513947115,0.01738363533971082,0.05250687329515242,0.03997242266293373,0.08212793658847581,0.1217814313411882,0.13538455467463226,0.12227113322238052,0.16795301988220987,0.18986108553947909,0.13979210887435495,0.16397088210973684,0.18057753969884932,0.2252635614366651,0.1858472767518005,0.1618980975284976,0.17298335492083222,0.22823119057508706,0.2007869361332718,0.26098053536096266,0.2403878053371375,0.4607366653273667,0.4313809086574419,0.2305252466254195,0.24125605515728246,0.21696324603747022,0.267515024700174,0.2304351423405481,0.23903461470471063,0.2946417211480348,0.3197857605914634,0.2924865934960688,0.2410497609374218,0.2681536206940701,0.28140517135337495,0.2995558810007194,0.28979750870304294,0.1804738554723782,0.25235349332173196,0.21750835519458353,0.23396829216170575,0.30991762414611723,0.2590004682279909,0.2732779769965466,0.23129773990470046,0.20964931596606956,0.26209022125366455,0.21468323339452516,0.23881356130618184,0.26063870036383124,0.20003188436849262,0.20753070042272304,0.22748108236257691,0.25242667499027593,0.19131273263949217,0.18766027369532992,0.1652521389613881,0.17255699911358593,0.20836237770412902,0.13084228012569502,0.1844965077419787,0.1393072432657317,0.12179275425346296,0.0794173389303333,0.14283484734571408,0.10758459315306071,0.0700278347697489,0.06675345702858157,0.06202102191968723,0.06275940236781122,0.11728753557107566,0.062018755766675364,0.03763408356896628,0.039028628503364714,0.02393534005707222,0.021542415929214305,0.027976170857204396,0.0266887137188058,0.03186783954693511,0.02016163780820223,0.05662651045381673,0.024214560156387097,0.06136685929002491,0.021995622751994983,0.028122492675132345,0.03180369397214959,0.06731731926693854,0.04008625279116021,0.025321802759826897,0.021346054585504003,0.16060737175920406,0.06247539577740965,0.010466760949721985,0.012767060378806441,0.013435476199564174,0.010256721684307283,0.026624465843484584,0.017023500926198053,0.038777768737110384,0.01162305738735306,0
310,5773,0.006930176443796476,0.010700469356051592,0.0006327774381502412,0.0,0.0,0.0,0.0,0.0,0.006914988755868384,0.0025311097526009648,0.0012655548763004824,0.0,0.0018983323144507237,0.0006327774381502412,0.003148699502823116,0.0018831446265226341,0.0,0.0,0.003148699502823116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037662892530452683,0.0,0.0,0.0018983323144507237,0.004414254379123599,0.0037662892530452683,0.0037662892530452683,0.0018983323144507237,0.005694996943352171,0.003163887190751206,0.008165355944240777,0.0017222380410518879,0.04449326139180119,0.04210786474665036,0.030868372995820337,0.0,0.0116602809613631,0.010440289148846883,0.013845165199664855,0.03597503352446683,0.03694392960946222,0.11969282728501845,0.16764981476604413,0.18894625886019353,0.17418331676052284,0.18222805341336332,0.1609739408992056,0.1486186340594785,0.16054798475849044,0.18136693009244745,0.2190561943395465,0.19154792124611403,0.1674500803247049,0.17491580487083883,0.22101420024444532,0.19777567996960377,0.2733041424929887,0.22948847616997364,0.40543644795379175,0.35920457760823793,0.23102296060817723,0.24379267306496563,0.21785539387416816,0.27952183185813145,0.2384045992205054,0.24776865608109006,0.29136998561217614,0.3202510096094301,0.28515618071640997,0.24699104195742155,0.2722018736130657,0.28766566444785313,0.2971958488901283,0.2736764729883867,0.17634348366962005,0.23567434036390347,0.22441893611951763,0.21395871358725407,0.2874008787209056,0.255434200470815,0.29516772740234176,0.20419397861814173,0.2015599432327771,0.2556238581838388,0.21462260843753916,0.2502245694303293,0.22991370679760467,0.1972152573495022,0.20245411821514195,0.22888134493538562,0.23626545573084057,0.18634520383958922,0.18054008437077035,0.17321242305193943,0.16356541101542033,0.19486078895733905,0.12390579476080739,0.1668406380686481,0.12498128501279086,0.11033321113407536,0.07643782519367787,0.13576536500191708,0.09411417423305596,0.050436571137343914,0.05693047310053685,0.0511897729176547,0.04605269213407649,0.08992171736686116,0.04269063033394991,0.026694922421942276,0.02711600921461773,0.0148241681521143,0.016797361744941283,0.02112156715776054,0.01419139071396406,0.016435948542713987,0.013015884803967922,0.03425801647963471,0.012925835837663581,0.03821959135321676,0.00915954658461831,0.028231841534165702,0.022733347548360226,0.04175011274241502,0.028478051390452237,0.015713122138259407,0.013573800963741908,0.12157498015252859,0.04918742128598144,0.0091747342725464,0.00899863999914756,0.005393257331573043,0.0028773352669001677,0.01506515701218107,0.008255404910545121,0.021708781532126506,0.004399066691195509,0
311,5774,0.00919750893243157,0.007646661354346023,0.008951447137805189,0.006116098662784807,0.002837748340336839,0.002837748340336839,0.004256622510505258,0.002837748340336839,0.004515876871343599,0.006397703873024083,0.003908289021596251,0.002837748340336839,0.005862433532394376,0.0033730186809665455,0.004110818304845367,0.0030402776235859555,0.004256622510505258,0.002837748340336839,0.004110818304845367,0.004256622510505258,0.002837748340336839,0.002837748340336839,0.0056754966806736775,0.002837748340336839,0.002837748340336839,0.004256622510505258,0.002837748340336839,0.003242806906835071,0.004256622510505258,0.002837748340336839,0.004443559362225958,0.006600233156273198,0.003242806906835071,0.003242806906835071,0.004443559362225958,0.009074055576172612,0.005514100043485372,0.004183135813963008,0.004379895700483128,0.006851128896769537,0.030167269288428885,0.030277869774098406,0.012769867531515775,0.004202217131978255,0.01443589251748095,0.022667232806896812,0.014172418792933445,0.03044541431164582,0.07670550478689528,0.0896855964792421,0.13105557885978678,0.11880992333229688,0.10517817590396397,0.07458595266484908,0.07189743406433245,0.09320649225315042,0.0767686022571166,0.10647649720114886,0.09894006943750976,0.08180123348805292,0.09888193666288261,0.10577086724303791,0.09296891807301333,0.10742843651982271,0.10162928421622056,0.12723782850551005,0.14117659732576124,0.11239413338293275,0.09561570804805825,0.12892741571222358,0.16890549205914662,0.12380432938556546,0.15149701967217685,0.1331609229205011,0.14703587360969184,0.1480142899195323,0.1014903467781805,0.11250289589085084,0.11992434320901146,0.10942039777473152,0.1097535723290988,0.08718548698766192,0.10680978729763797,0.0929709593591384,0.08850867007634419,0.08727682185318385,0.10367197443132092,0.11924271895498302,0.1034964752882909,0.08756576822940577,0.07817405680026852,0.11704014854846065,0.11236042920952785,0.10781384018227819,0.10183440628023033,0.08470791525878302,0.08530234474348823,0.07973160074855432,0.09061896788580254,0.06984274756311527,0.09839988660752254,0.08087400372674762,0.0863896701039355,0.06438534718649314,0.0795161962995516,0.06640677813119492,0.05753826035786134,0.05694530735298361,0.07087227781611263,0.04421217540541297,0.04559186541589435,0.054323502775040874,0.04336505215507021,0.039401049378675425,0.030703222175394045,0.03736032118861832,0.030246334726063487,0.02309575767408868,0.0363837217371585,0.024214437762336765,0.037413919272172094,0.020875573954457372,0.013251821514788853,0.014871124624245308,0.018767697632702227,0.021223907443366375,0.01780259149077725,0.017540498554420175,0.022308403670573112,0.019957515730476133,0.023046710181428478,0.025584641659580024,0.02386362670973164,0.017584031065797437,0.028976857953189272,0.019374959441014555,0.012387079648164247,0.023480272900098697,0.01385708966547398,0.013559892023706286,0.021730938182791863,0.005365325827795162,0.010006756399358798,0.010334777892360713,0
312,5775,0.009178792081678143,0.009178792081678143,0.012115862103960224,0.009178792081678143,0.00440586118316406,0.004460725950726564,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.00881172236632812,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.00440586118316406,0.0066087917747460895,0.00440586118316406,0.0066087917747460895,0.006718521309871096,0.019881240091800773,0.00440586118316406,0.015420514141074211,0.027224171297246913,0.014116317282879738,0.03095024551779154,0.03414465572029863,0.03352024582472359,0.08593025213032288,0.07150172989965563,0.06658016375707775,0.0637907043798957,0.052207018593454904,0.0928502242538927,0.06206508533827059,0.09059242889474818,0.0856718873511341,0.06263463046628313,0.0923744496023815,0.09415493341156908,0.07249269721109881,0.07093167247216121,0.07471312375975024,0.07660333710406284,0.11965246106822713,0.08901442049822308,0.06636121698630963,0.1214883219444591,0.1546409857543508,0.10156920074268334,0.14074412754172108,0.11535632942018807,0.11838359047344492,0.13020729843324974,0.07254500713209859,0.08477315361774655,0.08666081211549645,0.07377599661690577,0.08135928434498943,0.0686733648135348,0.09006127717619257,0.0627412928553635,0.06993968056175426,0.050957686502822924,0.07181342254796129,0.0774302224123004,0.08655414972641605,0.06725995071969719,0.03399704507519863,0.09877974136550127,0.08330436245686455,0.10046799159663324,0.08829675242562866,0.0639552986825832,0.06362662237669008,0.055658768976187004,0.0807348744494144,0.05273868261149244,0.09352949891703027,0.07627363619920595,0.07570102392514878,0.06279973706845252,0.0737036358922739,0.06648793017902214,0.05455704753065505,0.058338498818244086,0.07076401102342908,0.03845777102592518,0.056338555938806455,0.06195535580314558,0.04662758753960888,0.0456361079286838,0.025333445653452406,0.043011755153671144,0.033043446574248556,0.026489519567064974,0.04741710403735332,0.030106376551966494,0.044112452000239326,0.025810244903927432,0.014061452515317237,0.01877951864626881,0.02177145343611339,0.028122905030634464,0.018834383413831316,0.023185379829432872,0.019091723594056337,0.019513658076968858,0.023497584777220394,0.028692450158647003,0.031208097997498442,0.020193445039588295,0.016154653571774258,0.015842448623986736,0.013639518032404709,0.031207585698016547,0.018357584163356287,0.01872465387870631,0.029059519873997026,0.006663656542308594,0.011014652957910154,0.01395172298019223,0
313,5776,0.005961757245540038,0.005971535383364722,0.004653567581898266,0.004797271740692204,0.003456102794285073,0.003793170839702792,0.0042526044442194036,0.0037181796820484427,0.0027477106668918126,0.004252604444219403,0.0026992065444690115,0.0033105904270166707,0.004048809816703517,0.0026992065444690115,0.0029030011719848982,0.0026992065444690115,0.004048809816703517,0.0026992065444690115,0.0026992065444690115,0.004048809816703517,0.0026992065444690115,0.0026992065444690115,0.005398413088938023,0.002747710666891813,0.0026992065444690115,0.004048809816703517,0.0026992065444690115,0.0026992065444690115,0.004048809816703517,0.0026992065444690115,0.0026992065444690115,0.004048809816703517,0.0026992065444690115,0.002747710666891813,0.0026992065444690115,0.004048809816703517,0.002951505294407699,0.0033105904270166707,0.004301108566642204,0.0027962147893146132,0.004398116811487807,0.00584870542778867,0.013250171883169015,0.0033590945494394713,0.010126280619560753,0.01727096264605341,0.011351493465289249,0.016009745086246866,0.013989157743648693,0.01702028389799892,0.04908924210082054,0.04524550366542537,0.032933203368601824,0.02995323035480655,0.03544029689581073,0.041190901260366605,0.03579697555364898,0.03830101845326844,0.043285958459457215,0.030341944389598773,0.05550373977531946,0.05154996767282557,0.037860382857266464,0.04490934868205327,0.050329486937386946,0.04556500627286982,0.05956067199496103,0.05122998756426474,0.04855510086755236,0.06503420754345893,0.06874238252182055,0.05715392368359415,0.06639574041008428,0.058700087046175305,0.05995379957995208,0.06921586755536319,0.04129929970151572,0.03936203191807925,0.0508779904428541,0.05436956298021691,0.03900559580360243,0.03574362507000536,0.042710899664125584,0.03637212841650918,0.042896715537896604,0.035372607333530474,0.03535278889563154,0.03845605626148002,0.040315820488171394,0.03767047834485826,0.02093642871661694,0.046264686181277444,0.034801534087668284,0.051009357255212044,0.04056745090413395,0.02904305273639582,0.03107391407511323,0.026389678421263687,0.041803979483663344,0.033599227210019254,0.03580878700912947,0.03141460869099995,0.037354571352908705,0.038192255657627114,0.027696457461293896,0.04750296475839288,0.033708015643498776,0.0349161405523704,0.040355289269248244,0.021080852536683146,0.029525145877651017,0.03039645047864944,0.01646950921742153,0.019859256107903577,0.014517278464876108,0.02460325170381701,0.014608540007888951,0.012420368874059964,0.019745567417993493,0.01630476265091313,0.01675672932841914,0.01516293110541527,0.011664535287017311,0.010407725576383224,0.014055819992952388,0.017002432116618692,0.012889526279630087,0.013165214381099717,0.009110431050110711,0.00937051152280935,0.012061936344518413,0.013459391136108294,0.019506294090307897,0.013359883473858344,0.009409425713997735,0.011647854841952826,0.00985193633008843,0.011735830494674799,0.010904541353500644,0.01142915952550454,0.014265642471524924,0.008209471662500275,0.009135269631115678,0.007506720819463054,0
314,5777,0.0034879734366961945,0.004579188684428613,0.001743986718348097,0.0005813289061160323,0.001743986718348097,0.0009270656303007746,0.0006833918645897912,0.0029066445305801617,0.0,0.0005813289061160323,0.0,0.001743986718348097,0.0,0.0,0.0005813289061160323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005813289061160323,0.001743986718348097,0.0005813289061160323,0.0,0.0005813289061160323,0.0018541312606015492,0.001508394536416807,0.0018714583037521934,0.0003315975023516144,0.006159025785345065,0.007686771310638776,0.007443097544927792,0.009785740212542565,0.009187084263275889,0.015994847826909457,0.023650888297403312,0.02467682906486033,0.023237853147216905,0.026503527752805286,0.025327576589749747,0.0237562495233654,0.025195960865847664,0.03372314839190866,0.01665559043513402,0.028169903822429482,0.030939927555280078,0.03255644268822407,0.030981081929512547,0.032202638579384976,0.030982677424486394,0.035465111164530494,0.05199523976086133,0.05501202883369494,0.04509275939769483,0.03499392680066791,0.04614326292107255,0.044161660075066896,0.03686538510442011,0.03189761357955496,0.0327572845368086,0.02066280611898836,0.021136014428577196,0.04500398979004456,0.0497413809000222,0.018623899930316195,0.031843608504376765,0.017606040746638872,0.029472258942343326,0.03497659975751726,0.03099203333002816,0.017915099438796062,0.02280334681538188,0.01927061376287844,0.024331092340675584,0.02049535823406839,0.023490676125253376,0.017897772395645425,0.021574568651864752,0.023222550049792522,0.01662093634883273,0.010477213660912053,0.014631251919047392,0.018861516057973746,0.02046272809349336,0.01843955345299799,0.019199171198378797,0.025712015291688303,0.01911276560202668,0.014700507966585135,0.036563672571203756,0.047537465023783386,0.03544491430464394,0.022854592519994967,0.011738746610300355,0.010822950385096794,0.009540902571240326,0.008016344867264132,0.006759705680338,0.006552709946654566,0.004399625523401773,0.003742916607504387,0.006867826276865193,0.0020897234425328393,0.0054869033258524835,0.00806110448307137,0.00708609141564584,0.009793821796322258,0.004644573610874825,0.014062038289038228,0.0060335781456672295,0.0101202075316301,0.00509843093158676,0.004650631248928259,0.006867826276865195,0.0054869033258524835,0.005577696879229035,0.0036154450221002905,0.004650631248928259,0.004069302342812227,0.0049963679731130015,0.004542510652401066,0.0012901293976361613,0.0048599689329195525,0.008138604685624454,0.01197231484650539,0.010228328128157294,0.006394617967276355,0.0029066445305801617,1
315,5778,0.0034879734366961945,0.007894599382340403,0.001743986718348097,0.0005813289061160323,0.001743986718348097,0.00042982223725261865,0.0007841751248919287,0.0029066445305801617,0.0,0.0005813289061160323,0.0,0.001743986718348097,0.0,0.0,0.0005813289061160323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005813289061160323,0.001743986718348097,0.0005813289061160323,0.0,0.0005813289061160323,0.0008596444745052375,0.0010111511433686512,0.00270031097823014,0.001867480282209771,0.00566178239229691,0.007852746480450201,0.008207099368089514,0.012625813288666514,0.010077451982631592,0.013221174180952573,0.027067423313810297,0.024472267796010642,0.020878002078170116,0.025239287788349996,0.02234411623146081,0.020805044709430842,0.031099053905688498,0.031860881774103074,0.019417127080409213,0.04047299223696624,0.031105902725091495,0.03201993107975153,0.029993609110071835,0.031702400438091416,0.03214382149678025,0.03413935615519745,0.05299006760515071,0.055012369891888006,0.04210929903940591,0.032673685005238554,0.043513658673666765,0.04144495814689153,0.03537399598346871,0.03523527110692012,0.037713720255898336,0.019459740141217777,0.020264557732236402,0.043512600669093154,0.046117289866520104,0.019121484381557415,0.03062685694707364,0.020755817332932296,0.032046255704739825,0.030959384397707644,0.025125895873752423,0.017583831215559335,0.022559176272914754,0.017011545954133785,0.024497408568680077,0.02207452715217553,0.031841058973103666,0.015869530608028422,0.017135310523417265,0.018376482015504948,0.015483062280571433,0.01207006815855172,0.014501550216414938,0.019319832293790577,0.017732340585785458,0.01721090483933556,0.02012914819135194,0.024552235452166685,0.023254121345135693,0.020243928341395757,0.0306326842636118,0.046604493282564816,0.03620558032136719,0.02100233461709039,0.010207748215731512,0.012550390970658222,0.008838756851149425,0.010001982633018287,0.007802021931779536,0.011050488371734408,0.011614787993043104,0.005400621956460281,0.00732580145448897,0.0015924800494846836,0.0073973404671963455,0.011935273618909073,0.006344336421937497,0.011412258929853775,0.005329697944994721,0.0131939173991359,0.004170970469668588,0.010207305212399704,0.005207434383616677,0.00502972893751021,0.0071994355582949855,0.00727097457100236,0.005080453486180878,0.004570663592772221,0.004650631248928259,0.004069302342812227,0.004499124580064847,0.00500048583002484,0.0021189820721141087,0.0077496599975619435,0.008138604685624454,0.01147507145345723,0.00973108473510914,0.006394617967276355,0.0029066445305801617,0
316,5779,0.0016459150743787666,0.005579215227535127,0.0009578951835444555,0.0004105458012753247,0.0008210240734036964,3.358595684963277e-05,0.0002736746911345653,0.006120363778919454,2.9719029278259048e-05,0.0002736746911345653,0.0,0.0009578951835444555,0.0,0.00013687111014075911,0.0004105458012753247,0.0,0.00013687111014075911,0.00791353899279209,0.00013687111014075911,0.0,0.0,0.0,0.0,0.0,0.00013687111014075911,0.0,0.0,0.0,0.0,0.00013687111014075911,0.001582707798558418,5.943805855651834e-05,0.001582707798558418,0.0016718648863931955,0.0030820190533295834,0.0,0.0004105458012753247,0.0024037318719621146,0.000606854969972602,0.0008250935884159288,0.0003033937204128246,7.73385514274744e-06,0.0006842880215568431,0.0011434509927984583,0.005045786787965822,0.0035954939857581695,0.005483548663101425,0.008389282576246137,0.008062797950059998,0.004173114162491403,0.006241416970459779,0.012503899146258057,0.008038187753305077,0.013280256871200234,0.014782990569122844,0.013602776861239143,0.008617195505118656,0.01696565054099552,0.01452084449362373,0.010081484741710887,0.01131859275800638,0.018892138463503797,0.028114164581055513,0.015900547472564655,0.018182548964299387,0.021172260975561838,0.017945869605902335,0.030915570427440114,0.0339595708199442,0.019472425469987387,0.016359564996360355,0.025865778410369047,0.020105413047406696,0.0243318472387098,0.020013049172856574,0.015929000250048456,0.009041967083889553,0.010081972321874105,0.018045995558667313,0.020902514599261856,0.00803118605341617,0.018385752945867282,0.017668581808580816,0.020346946454603266,0.018651545732472713,0.011491919259974557,0.011821648175274946,0.010563052938104278,0.013190447145516121,0.015366345900605156,0.013021315958777218,0.011475119778632623,0.00818446080114043,0.01133561929847457,0.02004974084014201,0.009260812049049974,0.005964303438354324,0.0072388729844971075,0.01063097342190864,0.01196338789484361,0.010827088175647889,0.010510757023041198,0.008887792369086123,0.011093228066261134,0.005752691798826048,0.014835059100895104,0.026931418133804213,0.020176166894223295,0.010127043763851219,0.007837329501058034,0.0066887197077621025,0.005111839947633486,0.01327710580541099,0.013741046090024793,0.008939741189335607,0.0043824641193130846,0.005630508504846893,0.005496835086076857,0.0028479986883809777,0.012270488576498609,0.006253118859402263,0.011928878233575687,0.006550760023018653,0.009322168514737572,0.012932953164837566,0.012759947909807797,0.0070603864338486,0.007460309367357573,0.013415121211080546,0.003174059766745664,0.004950265597931619,0.006350363781599683,0.005632329203402107,0.012792213984267223,0.011834183742428863,0.01184191759757161,0.006941294781679007,0.004856418559625285,0.004661897309845523,0.0038688985603049226,0.022658658582834466,0.006383716969847865,0.005688003782007947,0.0036702391530774045,0
