,cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23,h/w
217,5280,0.0019515787381870948,0.0009464653420544084,0.0013931769828351053,0.00030237017813766835,4.2947793353517864e-05,0.0008051176521454794,0.0017027383433987858,0.008093223643722721,0.016881566589587855,0.01885585727281917,0.02218045180772222,0.02600318818360919,0.02206881846476378,0.019615678864691163,0.015590583818210064,0.024811923880904398,0.021002476896735903,0.03181785189471046,0.03038443975646695,0.026831177291638805,0.024454391614474668,0.014837311441733388,0.0120488442909305,0.011296090181672422,1
218,5281,0.0016470414950241845,0.0005548144788771759,0.0012522492714438067,0.00015726350318595537,0.0,0.0004818767352461143,0.0013464557652747688,0.0060464026746255145,0.012275604780015659,0.01358055900386282,0.016154428804989587,0.02007361230672956,0.018745255821064698,0.01567397687125373,0.012463960760873579,0.01927665120983906,0.016375683757682762,0.023726498754137768,0.023302877494219554,0.022640278097367815,0.018513467055761595,0.010138931044621203,0.008777447723979238,0.007990279183639575,1
219,5282,0.0013747117071801376,0.00028848447913974425,0.00024193669165245267,4.2448432781323146e-05,0.0,0.0003267430232340194,0.0006119514882402014,0.0030217255391980563,0.006164021042104591,0.007495535896867333,0.009286459908438289,0.011892401958259724,0.011341156753261816,0.009603817602759015,0.007499253003336878,0.009904499470367036,0.009207247177574589,0.012507459663118956,0.01204275234820177,0.011052443453571658,0.009897716636347798,0.005927753750795037,0.005008970277661738,0.004260046336054911,1
220,5363,0.010032208744160677,0.008147611974295359,0.0023586048006996453,0.0010644825660583207,0.0008269828794804794,0.004997141092466658,0.007734432132842788,0.019898595532738185,0.09538497163003098,0.1675481384548259,0.20329054726278992,0.2274376557543339,0.26273232097669724,0.2094285257124374,0.1796973820420157,0.19955236616647962,0.16504257691714386,0.1769538240257192,0.10106259464933492,0.07344499384655408,0.06715071919478711,0.05193332813877854,0.02584694941077972,0.01697551137051067,1
221,5364,0.006087852222187154,0.0022781076297702474,0.0013237461238788713,0.0021266998130901335,9.052255170782755e-05,0.0009494926881388755,0.005079966609518251,0.012620173485123506,0.04739054093958317,0.08949158929415937,0.09850778295501753,0.12884711075210725,0.1283407747500261,0.09222575635681977,0.10129397839898524,0.12067675979697845,0.08648206133581847,0.07866351117724936,0.05603929520829862,0.038629372585848816,0.032881699820239814,0.02386998314901214,0.017666956738686953,0.018744833389545554,1
222,5365,0.005697859111909953,0.0003108917604734328,0.0005800837792621027,0.00027108685094466193,3.223446662688748e-05,0.001660572318106745,0.0034440593337457686,0.011730133031246778,0.0398759626162499,0.06228266310791921,0.07010903293350151,0.09494477698919469,0.07743454304855758,0.06874822272456056,0.06808421556228716,0.08116195614032175,0.0669898558472476,0.06936818291524674,0.046496201053732374,0.04417057146786104,0.03142862433394693,0.017763950475004352,0.023474931513173012,0.0201288713677274,1
223,5366,0.013231623337817437,0.005926893156214307,0.0017661380377303458,0.0,0.00074187851846434,0.004408416808700854,0.0051517099669151105,0.01824942417869223,0.10618580158022008,0.13017246348276,0.12980691925121618,0.14462707962262525,0.13474078285396104,0.09498555909777118,0.08124395539447835,0.12057652404663752,0.1270526307839216,0.08919012903801486,0.07012335997524755,0.06972771291518336,0.055660205481771696,0.04893409475016657,0.03354730289607687,0.020451923803190244,1
224,5367,0.03885690017363649,0.009401968334897839,0.009441729312645237,0.00390201677020668,0.0009276499729194257,0.007515027796229985,0.010582661794405193,0.04850143990325628,0.2208204525217376,0.2590969071417319,0.23998711488406094,0.2705921214788739,0.2409263763177695,0.1883593628893564,0.1554985534287974,0.18943526753433074,0.22532324547480184,0.1611969341330019,0.16415049503340204,0.16221341291349609,0.14893466155762497,0.12165427561235073,0.09381757796034132,0.05642844163521273,0
225,5368,0.03213732184111238,0.010305927178643115,0.012401574237985139,0.004568353244943153,0.00022738158775192986,0.0026672873908270313,0.010939015496991588,0.052292463128643774,0.1384814612335779,0.17459117284267545,0.162715942870349,0.1899834662149077,0.18094177835907477,0.1510559706108175,0.15404664053829176,0.14019777847374965,0.17459877792155068,0.1458822274307012,0.16124485278329959,0.15775835928904605,0.15732477265364023,0.11948810679598895,0.0950547257533103,0.07559567796337081,1
226,5369,0.017806674213379527,0.009159400918506751,0.005560144779079917,0.0015424015014476337,0.0013792602637432776,0.004489574873527097,0.010298132848495182,0.038836028900124456,0.1207376667241855,0.13123749754009334,0.12014134425922417,0.14544181242977985,0.15389483832076292,0.11437179426099835,0.11349267148499423,0.10801033045907382,0.11360504367608305,0.12142255965992094,0.10906948071569972,0.11165075670352664,0.09858707802965616,0.07493973437149123,0.06691293414889743,0.05027347216694633,1
227,5370,0.01648771333605972,0.011179134465728475,0.005164907723757224,0.0009316675066064403,0.002329168766516101,0.004712686628306118,0.011335645540219487,0.04905407997986477,0.11813890761267003,0.13538122835596672,0.1555378938618386,0.16771589024255856,0.1838930152793062,0.141156562363939,0.1375972729589692,0.13318039404402413,0.1252431386480053,0.1454545275839381,0.1114925137893146,0.09978373178250424,0.12184753950455228,0.092471914912056,0.07502608552579898,0.05386355506590433,1
228,5371,0.018148251426285678,0.011350047244217043,0.00382258732873493,0.0010026778508952997,0.0024197782196892404,0.006437862393324172,0.010771083070849298,0.04040798302448621,0.10523160664430102,0.13331906485023592,0.12537131877738686,0.13100650803395755,0.14892566715435926,0.11676663948527925,0.11517631794375827,0.11807270626171541,0.11336410376575101,0.12612251718986817,0.0980325798074991,0.10095873480659394,0.1055583509924258,0.07197809217835101,0.06452345123670235,0.04617708839514733,1
229,5372,0.02414013610788357,0.015469885646328214,0.004502889553710012,0.001708826194718451,0.0026869965847123585,0.0008722413395908117,0.017556640607949703,0.03596533154914607,0.13057171677236054,0.137444439091151,0.15186290051354923,0.18478512623355717,0.17919856244958798,0.12223646756796147,0.0992597237954548,0.11076695593330853,0.12154938657272996,0.12379640259320403,0.10473064046459178,0.11886012045983639,0.08051958816677848,0.08408304306880292,0.06791722111220289,0.0458840280898475,1
