,cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,hw
96,4679,0.002492193529424284,0.0023743599142311824,0.00020395085333322821,0.00018259413578875956,0.0006973016786019525,0.0004353932122859344,0.002282018964426218,0.006387180734415707,0.005822530622944124,0.010110917059986391,0.014178191445984199,0.00917416625805498,0.011820364720315136,0.011997160574402184,0.008123353452367458,0.012521158388307772,0.02862359427170705,0.021969905482519,0.01262383786170153,0.0069840174774948565,0.023650444497924594,0.023655810649909008,0.021452139949113717,0.000521374408120433,1
97,4680,0.0006061292124426098,0.000347149943095195,8.540429779981742e-05,8.540429779981742e-05,0.0001735749715475975,0.0006618833079489024,0.0007741714320942822,0.002698534508538772,0.003998183674037708,0.005297832839537915,0.004292345897574573,0.006061718700974411,0.009402771885827617,0.006304099714634049,0.005204909347028273,0.007841100175812736,0.013013443267271777,0.00821342440165889,0.002917578004933606,0.0034003535894402566,0.005147168808706811,0.009305875507688906,0.009978044386296866,0.0004270214889990872,0
98,4681,0.00035043547219921475,0.0,0.00035043547219921475,8.540429779981742e-05,0.0002650311743993973,0.00041492244089390886,0.0009570838377978818,0.003009043731782979,0.004199166387085711,0.005461570271767328,0.004758964345989575,0.004937045436863245,0.00777373478732068,0.007637488354657255,0.0047838734032635,0.009134686217638254,0.007519778640710707,0.00691467606083795,0.004434983716790195,0.0039386487062652705,0.002653070745689053,0.005685999514430202,0.0050045001134109875,0.0004270214889990872,0
99,4682,0.0005207579134120815,0.0,0.0005207579134120815,8.540429779981742e-05,0.00043535361561226405,0.00025621289339945226,0.0012977287202236153,0.0035432368428583998,0.004551424163229855,0.0056783442878538355,0.005951221434479642,0.004995109905455296,0.007061477305877269,0.008717487470526506,0.005182582754281285,0.009908879132237002,0.007001069387916983,0.0075301594279422405,0.0059678856877059955,0.0045076804984959225,0.00283500608062033,0.005813741345332714,0.0038161139894842063,0.0004270214889990872,0
100,4763,0.0018922091224110053,0.002334812212257381,0.004600040165573472,0.0,0.0022074573000848167,0.003168665459672179,0.006907940364703463,0.020995622727781518,0.0495855932996999,0.07000540717916727,0.06029438952213775,0.08247920160253328,0.05581044818587043,0.07209016560544367,0.052007771785944776,0.04785188849488018,0.04283793291068623,0.03647004985461358,0.023827842737166174,0.02722290850651616,0.02964648239631138,0.026901921657812893,0.04067608322933924,0.0336678604977013,1
101,4764,0.0024521141322278533,0.0008618196219031066,0.00108529080073791,0.0,4.232779426679173e-05,0.0017448436582764046,0.0016722146704484533,0.010055259553123289,0.031387603943672064,0.06290515233822408,0.056270080458242874,0.0537621034203105,0.050789070948340835,0.04241665421283826,0.041450023936851745,0.04460428473270769,0.027811859974076338,0.030924525718827534,0.0193254109818699,0.01709129653175341,0.014271262353777927,0.022588512924136214,0.018698933148291654,0.008458742218981954,1
102,4765,0.030078887181716637,0.01746106831395017,0.0156095033188013,0.015999186518672857,0.015574167555692993,0.016562390906845196,0.024272674640854103,0.03044185252460526,0.04785025381176521,0.063523236114374,0.061099890572811164,0.05107098787642271,0.05038376898616866,0.0437736276036314,0.043402999871999526,0.06236958804214376,0.05655807509226117,0.05769226535364275,0.0458791061177119,0.05554843308031185,0.059695592630702905,0.05976616803351246,0.05298365667333945,0.033020410602000234,1
103,4766,0.021683255808344206,0.015507031253333636,0.01367432251324825,0.013240428302205441,0.013170054477569044,0.013240428302205441,0.014379178919280422,0.037188498060857826,0.025323277502614937,0.033967995531562746,0.046010341350106156,0.02608773190707287,0.042307876820810934,0.04529489170759611,0.054293471668495165,0.03558340430145675,0.0473396195809807,0.04072284975539525,0.023228715849741937,0.04264941743629864,0.04936756638128793,0.03924969559933912,0.03859447447864635,0.026063514413762673,1
104,4767,0.01209951507682969,0.00813460194376774,0.006469885714434337,0.0057007172031503465,0.005898271161926758,0.005743279678742749,0.008679682722083307,0.018243682447172154,0.03745821436090627,0.03266598204684056,0.03887735374553222,0.025631937418963077,0.03843509218623774,0.039948851524005874,0.04011872471175357,0.03507718575732054,0.041948827765767235,0.04718693646648306,0.036158949869541365,0.049028083255429566,0.044348617260103314,0.043283344366250254,0.04297709548305842,0.025320703643682132,1
105,4768,0.01420715407201645,0.009815426438992915,0.008168633154552242,0.008168633154552242,0.00804877601240249,0.00804877601240249,0.012205315926368084,0.016422353949364976,0.051612703964612025,0.03286845499739104,0.03215846180795616,0.02846926194834987,0.03473016097450429,0.0310394095362354,0.026513287723042272,0.04684038459685648,0.030691987021203467,0.04402133115520958,0.038321486609476735,0.04401358133158308,0.030862720773104323,0.02976486981116098,0.025277547597092106,0.023860379350248515,1
