cellid,lat,lon,home,high_dens,mid_dens,low_dens,work,transport
4263,45.446625,9.1990268,1,0,1,0,0,0
4264,45.44661980000001,9.2020318,1,0,1,0,0,0
4265,45.4466144,9.205036799999998,1,0,1,0,0,0
4266,45.446609,9.2080418,1,0,1,0,0,0
4267,45.446603599999996,9.2110468,1,0,1,0,1,1
4268,45.446597800000006,9.2140518,1,0,1,0,0,0
4269,45.4465924,9.2170568,1,0,1,0,1,0
4270,45.4465866,9.220062,1,0,1,0,1,0
4271,45.4465806,9.2230674,1,0,1,0,1,0
4272,45.446574600000005,9.2260724,1,0,1,0,0,0
4273,45.4465686,9.2290774,1,0,1,0,1,1
4274,45.44656259999999,9.2320824,1,0,1,0,1,1
4275,45.446556599999994,9.2350874,1,0,0,1,1,1
4276,45.44655039999999,9.238092400000001,1,0,0,1,0,0
4277,45.446544,9.2410974,1,0,1,0,0,0
4278,45.4465376,9.2441024,1,0,1,0,0,0
4279,45.4465312,9.247107399999999,1,0,1,0,0,0
4280,45.4465246,9.2501126,1,0,1,0,0,0
4281,45.4465182,9.253117999999999,1,0,1,0,0,0
4282,45.446511199999996,9.256122999999999,0,0,0,1,1,1
4363,45.4487404,9.199034199999998,1,1,0,0,0,0
4364,45.44873499999999,9.202039199999998,1,1,0,0,0,0
4365,45.4487298,9.2050444,1,1,0,0,0,1
4366,45.44872439999999,9.208049800000001,1,1,0,0,0,0
4367,45.4487188,9.211054800000001,1,1,0,0,1,0
4368,45.44871340000001,9.214059800000001,1,1,0,0,1,0
4369,45.4487076,9.217065000000002,1,1,0,0,0,0
4370,45.44870159999999,9.220070599999998,1,1,0,0,0,0
4371,45.4486958,9.2230758,1,1,0,0,1,0
4372,45.44869020000001,9.2260808,1,0,0,1,0,0
4373,45.4486842,9.2290858,1,0,1,0,1,1
4374,45.448677999999994,9.232091,0,0,1,0,1,0
4375,45.4486716,9.2350964,0,0,0,1,1,1
4376,45.4486656,9.2381014,0,0,0,1,1,0
4377,45.448659400000004,9.2411064,0,0,1,0,1,1
4378,45.448653,9.2441116,0,0,1,0,1,0
4379,45.44864640000001,9.247117,1,0,1,0,0,0
4380,45.44864,9.2501222,0,0,1,0,1,0
4381,45.448633199999996,9.2531274,1,0,1,0,0,0
4382,45.4486264,9.2561324,1,0,1,0,1,0
4463,45.4508558,9.1990414,1,1,0,0,0,0
4464,45.45085039999999,9.202046800000002,1,1,0,0,0,0
4465,45.450845,9.205052,1,1,0,0,0,0
4466,45.450839599999995,9.208057400000001,1,1,0,0,0,0
4467,45.450834,9.211062799999999,1,1,0,0,0,0
4468,45.450828599999994,9.214067799999999,1,1,0,0,1,0
4469,45.4508226,9.217073199999998,1,1,0,0,1,0
4470,45.4508168,9.2200788,1,1,0,0,0,1
4471,45.4508114,9.223083800000001,1,1,0,0,1,1
4472,45.450805599999995,9.226089,1,0,1,0,0,0
4473,45.4507996,9.2290944,1,0,1,0,0,1
4474,45.450793399999995,9.232099600000002,0,0,1,0,1,0
4475,45.4507872,9.235105,0,0,1,0,1,1
4476,45.450781,9.2381104,0,0,0,1,0,1
4477,45.4507746,9.2411154,0,0,1,0,1,0
4478,45.4507682,9.244120800000001,0,0,1,0,1,0
4479,45.45076160000001,9.2471264,0,0,1,0,1,0
4480,45.4507552,9.2501314,1,0,1,0,1,0
4481,45.450748399999995,9.253136600000001,1,0,1,0,1,0
4482,45.450742000000005,9.256142,0,0,1,0,1,1
4563,45.452971000000005,9.199049,1,1,0,0,0,0
4564,45.4529658,9.2020544,1,1,0,0,0,1
4565,45.4529604,9.2050598,1,1,0,0,0,0
4566,45.4529548,9.2080652,1,1,0,0,0,0
4567,45.4529494,9.211070800000002,1,1,0,0,1,0
4568,45.4529436,9.2140758,1,1,0,0,0,0
4569,45.4529378,9.217081199999999,1,1,0,0,1,0
4570,45.452932399999995,9.2200868,1,1,0,0,0,0
4571,45.4529266,9.223092000000001,1,1,0,0,1,0
4572,45.4529206,9.226097600000001,1,1,0,0,1,0
4573,45.4529146,9.229103,1,0,1,0,0,1
4574,45.4529086,9.2321084,0,0,1,0,1,0
4575,45.4529026,9.235113799999999,0,0,1,0,1,1
4576,45.4528962,9.2381194,1,0,1,0,0,1
4577,45.45288959999999,9.241124600000001,0,0,1,0,1,0
4578,45.452883400000005,9.2441302,0,0,1,0,1,0
4579,45.452877,9.2471354,0,0,1,0,1,0
4580,45.4528704,9.2501406,0,0,1,0,1,0
4581,45.452864,9.2531462,0,0,1,0,1,0
4582,45.452857200000004,9.256151599999999,0,0,1,0,1,1
4663,45.45508600000001,9.1990564,1,1,0,0,1,0
4664,45.455081,9.202062,1,1,0,0,0,0
