cellid,callin3,callin8,callin11,callin13,callin18,callin21,h/w
4273,0.001798700938800872,0.048504918540911914,0.0380858459233585,0.030277683601361988,0.07045224805696844,0.010926706487200571,1
4274,0.003692950678457903,0.07693606498752371,0.057569768424598766,0.022448022928170445,0.03461108857236756,0.007271704252361037,0
4275,0.0029083979961070584,0.06702690728142746,0.06277362587031889,0.028493270782827863,0.0431587840093629,0.009969039713146981,0
4276,0.0010585674416086544,0.031675415055469974,0.05142400886283923,0.03312989503914288,0.03187220619194546,0.011131410425037992,1
4277,0.0010369779164359975,0.03462350912239142,0.05537011213808469,0.035578064201716976,0.03040923650573879,0.01221252837210247,1
4278,0.0010073423701029548,0.03418923175348098,0.054254924254484284,0.0350409008926062,0.03010159714808827,0.012061085302945886,1
4279,0.0005764239893183363,0.032211650191393396,0.06432536783272423,0.04179162954326262,0.04366781009311519,0.016097527557358497,1
4280,0.0001357526928117289,0.026357215057877473,0.058456990009657414,0.043749595881844065,0.05031799164736253,0.021142090618315987,1
4281,0.00022886584315074025,0.029777392360948774,0.0499321494983602,0.04052638041120092,0.05371247365707292,0.01948442474958183,1
4282,0.0002825560550366587,0.03220387436848353,0.03603201960414696,0.03228137337308007,0.0482790239921394,0.011501974869482835,0
4373,0.0033113208045452394,0.07178922346665233,0.04573475284090068,0.020116677551242745,0.03712598615550564,0.006307481830820677,0
4374,0.003998409266057027,0.08346767351747782,0.05536413269673807,0.013260163022426599,0.02032836140731716,0.005678885392184563,0
4375,0.003914114197346231,0.08104279506482573,0.056731904422367585,0.01429302476416056,0.02179639425789949,0.006252637508038882,0
4376,0.001959652832601879,0.03831691874025426,0.05360802905830925,0.032435670664113535,0.033035340961431625,0.014002428029656134,0
4377,0.0015844103163544815,0.0353807872760098,0.05854115804750929,0.036857645276491144,0.037668316859446,0.01588128760621461,0
4378,0.0011673395574658917,0.039661000750133873,0.07875200411205001,0.05212651584000254,0.04746766078195084,0.016469556685307196,0
4379,0.0010368370842109731,0.045370662510023266,0.10040999981250094,0.056366527777439,0.05999675828529734,0.016505078491539985,1
4380,0.0005270110183240777,0.031711328921419604,0.07409649653453497,0.04441111517910411,0.050762705490799184,0.014857339135601383,0
