cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,h/w
4478,0.0017555565871186206,0.001244144400550477,0.0010004950441543682,0.0015190614197533384,0.0038855162992294016,0.009155019759916585,0.011618045431763195,0.02112237465349279,0.04909430467926293,0.08185757485048542,0.09832412687224563,0.1115537509942193,0.0897071179016904,0.07796242488663183,0.08340283354066665,0.09592750215150088,0.08716902844432534,0.10679876011073579,0.07876813484001202,0.06418170365310435,0.0301491786707516,0.024758103162556225,0.008797549086273943,0.0051971761761799296,0
4479,0.0017450936017951548,0.0006502015735340028,0.0004940897360367599,0.0007800303554105293,0.0026389087973778726,0.006097174039891437,0.007810224263341949,0.01624862328882208,0.0480732128354254,0.08600172701905683,0.10149878320679885,0.12082157696351298,0.09472313747430193,0.08276453878764227,0.08650414246365856,0.09562194363953648,0.09507859332842507,0.11249527152117705,0.08091943244413262,0.06412332961294967,0.029105499305470746,0.020789404172948948,0.008756007358532462,0.004320212454837721,0
4480,0.0035975808663841896,0.0009156825734774012,0.0004484061205646548,0.0003178077460578614,0.0002989374137097699,0.0009010950721023791,0.0016286153944873039,0.009844185792456496,0.030531528044735988,0.051906208451813034,0.06056296519485063,0.07129960421615054,0.05018881691398811,0.04089402243591131,0.045851242414737495,0.04447037831927315,0.058872419458325526,0.05718884041278384,0.04583822533246073,0.02557753247997751,0.01631739022535209,0.00849729818188772,0.0047288616852482965,0.0021698792248625695,0
4481,0.0008365181243194062,0.0015707597475916291,0.0004484061205646548,0.0009751565415836942,0.0002989374137097699,0.0007063901580563438,0.0029330371833690655,0.009715471288762986,0.025532727598279882,0.038962861081120424,0.05055267779603187,0.044237005336683954,0.04588902700416659,0.031085959443573768,0.03978778802117337,0.032566251863554004,0.0462495825233966,0.04739742435212271,0.03566183253393846,0.020789409462441545,0.012386159983193165,0.005941077621657846,0.0020929864306417304,0.001532968375255244,0
4482,0.0010663523584710083,0.0013824819360588343,0.0004484061205646548,0.000846758773891064,0.0002989374137097699,0.0006600264926713093,0.0030681553519971844,0.010620778275734877,0.025532408120312308,0.040142503273195365,0.04445606593522263,0.0359031195446839,0.03968597694094675,0.02737956359718112,0.034518027604179304,0.029167574430915423,0.04000953035219898,0.0430258748586681,0.037247630465351296,0.02294619223603712,0.013862780091236513,0.00640471953332526,0.0025476949632175882,0.0025413743826270033,0
4573,0.00021629960986576516,0.00035741747231206257,0.00054160394456855,0.0024158103404432717,0.020265345223628908,0.030191333803234216,0.034397628427850414,0.03468964218119716,0.03919205367171149,0.03652914977949255,0.030300922319912136,0.019138692814587917,0.010565902041365373,0.007535956220164984,0.003492394324039527,0.005415216272455915,0.0037166639868929847,0.0037149517475180975,0.00483013218896102,0.003589443781650141,0.002715383049804084,0.0015781388514163565,0.0006252366355301803,0.0004973712267683878,1
4574,0.0,0.0002278097291479649,0.0005135683435529218,0.002443366136671271,0.021152974311295817,0.03115398510181613,0.034957010334054565,0.0344674937975713,0.03769078306765093,0.033534201535015566,0.02749341676739377,0.01578985133418066,0.007054143722854614,0.0044967698387508755,0.0016857554660684056,0.003079367623643692,0.0014965458845275332,0.0012664879519887612,0.002156282342132236,0.0010184615488337838,0.0007348960509200183,0.0007466873289399984,0.0002641616733642502,0.0002900475196946338,0
4575,0.0,0.00010505590670319948,0.0005331974517289348,0.001717932577969294,0.011068888997689012,0.01688552266807635,0.0193759347299045,0.02034070498716831,0.02288471964711224,0.023641866519016473,0.023115167248160238,0.01609504675461449,0.007730175123752618,0.0047632597258355745,0.004214892886888496,0.006060604336846483,0.005468312298321683,0.005831766284899062,0.00549728140163609,0.004193766177191648,0.0021264681442914467,0.0010989208580951542,0.0019320411181201636,0.0005790832470408892,0
4576,0.0008745961490880438,0.000577371502103958,0.0009080686807194899,0.0014769376817930662,0.0027589117169043685,0.005305593070129032,0.0069845130563006095,0.01034089619637449,0.014238826146455769,0.01986214839646641,0.026097437759735043,0.0222745635366992,0.013335138989414515,0.011272991687037501,0.013413521116227158,0.017151151637271617,0.015379704714346135,0.018287497553351743,0.014739377589644564,0.011582656771573295,0.005767136772322424,0.004773681971050716,0.003433817731019836,0.0010531844257389313,1
4577,0.0021393110709256482,0.0024908627009740704,0.0010894421574184816,0.0016423440995882016,0.0024880587397637407,0.005587376088496541,0.019105785034778236,0.021610756367269474,0.03178616994172672,0.04009210109737351,0.04255378480170949,0.04504817714707595,0.027831724462544054,0.022703095648697148,0.030060831628636247,0.0363251618827366,0.029559029210218326,0.037853060722377825,0.03658796150816009,0.02031948376369691,0.010801865401540878,0.008718294432765566,0.005699817138650492,0.0016276981338275954,0
