cellid,smsout3,smsout8,smsout11,smsout13,smsout18,smsout21,h/w
4273,7.487320716740195e-05,0.007133573452251844,0.004526971598057585,0.0065172444385879205,0.014838039521369457,0.013550283691884862,1
4274,0.00037870342849908787,0.00988312865734328,0.005657834571090767,0.006605971858350721,0.010342397291195602,0.0034446773567599212,0
4275,0.0004262352901319412,0.011952563139295082,0.00727040674664467,0.008985520433079333,0.01210209306174329,0.004266478737877428,0
4276,0.00013033068484143316,0.009737417991350208,0.014045306350356246,0.01565824891472414,0.007702777888070054,0.013001507631745207,1
4277,0.0001259915304198509,0.009773656025008483,0.01633836254916089,0.01718524474930003,0.007505808477451166,0.014934926458142619,1
4278,0.00013355069985560911,0.009698925597180814,0.015813910443201837,0.016601694975470364,0.00741307191117715,0.014545499682522379,1
4279,0.0003529357548142671,0.028617196569652538,0.012732984476907561,0.012332513143470803,0.01028547403531139,0.00985319795192878,1
4280,0.0004420475993270107,0.01398264464423185,0.008891130203695263,0.009937898636059563,0.01401805083059998,0.010014778994567803,1
4281,0.00028782287126047346,0.013535540263943664,0.006669488190069446,0.009866296382236768,0.013153266456871369,0.008953346637999928,1
4282,0.00023464136638566874,0.011420370486027957,0.005627665618203693,0.007840773616799817,0.008266288713181736,0.006241698378412888,0
4373,0.00030234842207815414,0.007395789128808237,0.0034794356791899746,0.012459755453612078,0.008428259789799735,0.0061756076875368274,0
4374,0.0005374152005571121,0.008233583459736715,0.0024681290692171566,0.002374579015793324,0.005559445230313289,0.001455997108175218,0
4375,0.0005324193103098023,0.008472026298987842,0.002726192956563807,0.002670037807422362,0.00566978366133818,0.0018621328729580009,0
4376,0.00025878980956825525,0.009155286238067054,0.013107427843479394,0.012171504016957272,0.006661001093009933,0.012241651064498645,0
4377,0.0002504891188209496,0.01033878080320735,0.015544825746562003,0.014306109686862595,0.007912327161088278,0.013987127897512481,0
4378,0.00023869760738185896,0.011934903574160022,0.02072929388961265,0.01909707414179797,0.011010347930999236,0.015319498445742642,0
4379,0.00027778728298527366,0.08108953970616632,0.01932722587516141,0.01850233287625362,0.010427559933756799,0.007718915644216264,1
4380,0.00019075443580175139,0.05805866048643563,0.012598844088674272,0.013991855739422606,0.010210987526577701,0.005130635337806185,0
4381,8.827232405558748e-05,0.014149577694097422,0.007721205490948929,0.009686980897157626,0.010388421744440145,0.0047211917205671194,1
4382,2.0214070002246604e-05,0.007808436104068106,0.005297416352667114,0.00822646491498129,0.007591392637316933,0.0034321851625658596,0
4473,0.00010650022343355264,0.00486131287269456,0.0035364631620050948,0.05941724681148986,0.0015247427714524574,0.00040867530540528895,1
4474,0.00024583891334511114,0.005190359867475737,0.0017391883511871538,0.00120827386694532,0.0028077979252643112,0.0007270563901452153,0
4475,0.00022983947855224654,0.004862868168056539,0.0024678031771150654,0.0016668098848803472,0.0024920424737891324,0.0016846232742532027,0
4476,0.0003312674071214804,0.006692526666493987,0.00785298137997865,0.005711737594671173,0.005366748776074547,0.00830178812718145,0
4477,0.0004130822461870544,0.009715585690619869,0.012435944295567323,0.008515550782627432,0.008037761909751962,0.011267226132807687,0
4478,0.00031072220743786353,0.014368879680980712,0.024372204991821102,0.020881777095277654,0.017189961905326293,0.015252066271434361,0
4479,0.0002339475849413769,0.040573088278802114,0.02497116962226681,0.023719489506201497,0.017228490532809844,0.012003997574328238,0
4480,0.00014736353427148593,0.08604843673797541,0.011436130948463002,0.015084049365131549,0.006277510808845618,0.001962081535948904,0
4481,5.16339154792044e-05,0.03500468640224778,0.00709550725852299,0.011089195656136752,0.005576721958770454,0.0022368642803863607,0
4482,0.0,0.01858966096856905,0.005245713666382305,0.009256064207246945,0.006069153683819379,0.002566018133589089,0
4573,0.0,0.003225787436252172,0.0015514292146726783,0.004635531719847164,0.001068849859520603,0.0005035650166063531,1
4574,0.0,0.002641193552281083,0.0011201461848761715,0.00023026222810107594,0.0005460583831583431,0.00012738949143127558,0
4575,0.0,0.004207486218316709,0.001101233203251128,0.0005460661721219163,0.0030020936686594485,0.0006379119947398374,0
4576,0.00010285517697714917,0.00615680357389895,0.0028063965810569973,0.0023414623426234625,0.005804191207362884,0.0034436497302785165,1
