cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23,h/w
4273,0.0055843452481705285,0.00039114390684525134,0.0005125182735062519,0.0010974201031453922,0.002701292856370959,0.0059463943270334,0.007650617185894367,0.012549014409004145,0.02334781605371574,0.021305991481911025,0.01740020690978249,0.01973416656409174,0.01520071457211719,0.012804043004036985,0.020229754997984684,0.01946404278008233,0.02664279461349031,0.02473615115580138,0.026746360092035085,0.02462530437313868,0.015241163331630555,0.012889940780687803,0.014201188933349413,0.006437645230228417,1
4274,0.0022177054173205257,0.00045972104801476037,0.001258852532623533,0.0019745991296986854,0.005806902717056533,0.012065887737754851,0.014562776159094166,0.01911929576320139,0.030953025661996935,0.02349993351571535,0.024867414603885297,0.024167912203332403,0.01424143853351654,0.009307808942579526,0.013297366449227127,0.012641446667207998,0.012573443668248608,0.01213987424362073,0.013660813112630203,0.00937990301790372,0.0061406622065156465,0.006635614349308297,0.004309531466858925,0.0033735755785781274,0
4275,0.002362791471961904,0.0005926065202251578,0.001213963254593651,0.001750318939838186,0.0035461239440278893,0.00683627770644441,0.009213571380678324,0.016030930840834227,0.02865984765130557,0.02394047155874694,0.02683653480349414,0.026514121190125414,0.016780633601151968,0.013255340430825416,0.017897466117444586,0.01692504302472696,0.016291439373440755,0.016425377982364587,0.017088412863125523,0.01348967347020014,0.00845950285267787,0.0087113070000461,0.00483975175030209,0.0040831378636287516,0
4276,0.003219212126138175,0.001459529778250451,0.0016391377214713633,0.0002818239353947067,0.0011629132343817363,0.0022567755810813063,0.0036231442964106027,0.011392437959704729,0.02086541686516732,0.022666866372783066,0.024831982311164492,0.022872652049418272,0.021093562179476454,0.017729567256283107,0.023959346649153515,0.022694365830106727,0.020043803731069145,0.017148735598227306,0.014155092650426967,0.017017628272591196,0.014785236802713543,0.012027383972957651,0.00871865388580184,0.007167662888389418,1
4277,0.004382850908481023,0.0019849962163333993,0.002090685158354861,0.00021679782976609575,0.0015216497676550497,0.0023874861002886397,0.004602358711108705,0.01427672621457107,0.022880595521179596,0.025680056410439026,0.028377657667224616,0.026572049872513756,0.02525706499260842,0.01982875368002867,0.02798889438499078,0.027240234922825828,0.023768052724276748,0.017078838164360798,0.014527516530189175,0.018661815796326323,0.018262683922233496,0.014773181462257992,0.010950352339048593,0.00825098370867398,1
4278,0.004317909179790834,0.0019577439654633556,0.002024600768165429,0.00024914199109463847,0.0014999327777527373,0.0023436719138989807,0.004571299446685568,0.014020226655628862,0.022576086292707014,0.02537204765689214,0.02787794680431583,0.026151252368314917,0.024771816865116564,0.019525445949171515,0.02750660480421155,0.026898058814887424,0.02342620275896166,0.016844167945756213,0.014405164172606125,0.01863248817038336,0.01803563336005134,0.014651481471642486,0.010802268547587654,0.008008688244760786,1
4279,0.004510286267544158,0.0014278226137056213,0.0015869326209451981,0.0003259230760823703,0.00041319513386266644,0.0012666820706126512,0.003520033242079647,0.009035623200326704,0.023141588665436856,0.02382769842340714,0.02785482165784524,0.023004292551865722,0.02200682032507285,0.020190175040925004,0.022787504443940426,0.025583202860976886,0.027177292568606508,0.027297508871853116,0.017870231007083896,0.021208559582989898,0.019429598103612992,0.01701437496376594,0.011009428501833627,0.005405029375221531,1
4280,0.006429184416681214,0.0015129788582865478,0.0017969688079986215,0.000129547814413664,0.0001143738010923366,0.0006897335203058848,0.003660285406492343,0.009686984702400874,0.024261527132475084,0.022990147444499006,0.027385099704902983,0.02193169999612791,0.022436899707004312,0.019611065698734942,0.01761460304340699,0.024299790526623146,0.030160653332501584,0.038740491126461885,0.020967142376274936,0.025475477529114318,0.023303912191116674,0.023239277437890907,0.012662749748518188,0.005446154910322842,1
4281,0.0048588811335947765,0.0012540328316000297,0.0015895972041084822,0.00014855713794062939,0.0001327492376965069,0.0004888655638662218,0.003991616178853922,0.01032703160392086,0.023455135336734344,0.024624319837255926,0.02638995531040339,0.020907710571660895,0.022854226426725393,0.020106290573141183,0.01617902390686035,0.021884739043438985,0.028125489700095038,0.034232993094031924,0.021555487886210412,0.024646517158455353,0.020360026635069823,0.019256295420904075,0.01187619457205449,0.005976158579938577,1
4282,0.002348281233084342,0.000983474068292167,0.0006368483704655093,0.00016316817591863875,0.00016836214590719933,0.00024450802970637646,0.003223313468574247,0.00750921542578316,0.018452273710039522,0.020942989716586147,0.02021470100011139,0.01663365887504825,0.018562008840234293,0.01617575199294153,0.01388448736339516,0.01559642468181585,0.01857152146429788,0.01830246118071712,0.01715534293272957,0.01940390145051583,0.01306601793765183,0.0098299426768191,0.007994097420207753,0.005489607854639998,0
