cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23,h/w
5079,0.0008517418235399658,0.0008857628760265602,0.0009192560554393684,0.00028797708526620346,0.00016559341018893787,0.0008333975496584471,0.0030447325509880153,0.011094799807425611,0.027748082037092853,0.035739541171504415,0.04160528376765417,0.03768363558507025,0.03442147711478856,0.03170382149563618,0.03822223496337241,0.03552614784353203,0.042567587214146364,0.05431791617549131,0.04956167852614144,0.037361203564671035,0.02007820386768756,0.010538751068729075,0.0063249145420032175,0.003256550003077393,1
5080,0.0010189067511983823,0.00044182592282860885,0.00038970930295124874,1.541715590515916e-05,4.572524464184258e-05,0.0005631059980343103,0.0020325651510929702,0.007755010633569241,0.020961123633359603,0.02966794074173239,0.03465219977287764,0.033658073111311804,0.030607567558591092,0.025921794537010705,0.03345041852297332,0.02877518030906994,0.03384162898766323,0.044984964226459916,0.035540115789150846,0.025132870426950917,0.013878024185016415,0.007277197792977655,0.003958434258161958,0.0022451985106656724,1
5081,0.0007635558608920015,0.0002170683840760287,0.0002623690852522834,0.0,1.6778332741915365e-05,0.00034954634496484294,0.0016062703069356654,0.0040846029550566446,0.013749285970738464,0.019958599564979747,0.022636944093720412,0.024007303382230435,0.019862623171969514,0.015523608732322133,0.02379373246682595,0.016434866556997493,0.02427488165669542,0.03223466242373818,0.02360074663118179,0.017899600721971397,0.008737175955075954,0.004424028919997621,0.00242715796984865,0.0014737148692275774,0
5082,0.0007050393681979699,0.00021597775124889806,0.00010237390428572698,0.0,0.0,0.0003239666268733471,0.0008358361483019819,0.002098012827763038,0.009754583584804638,0.014627270312465964,0.015790781961851404,0.019368371547892903,0.01605672913358838,0.011049736077419285,0.015506924327724957,0.010985314558587582,0.01585672573050144,0.01966967908017761,0.014227253814116533,0.011625376553098643,0.006363432391608883,0.0038663155122687118,0.0020500614756234796,0.001280655287321607,0
5173,0.015777336702908193,0.004777777699157801,0.002838644698635235,0.005456884988993467,0.0054338643117297965,0.0020292273011455523,0.003464034493903738,0.04464822915005281,0.10807270264012053,0.16790444095681384,0.22215869376993425,0.17913226142859814,0.17803055247712218,0.1543070903084409,0.16043474938430877,0.16068843154004064,0.19638104507304205,0.18829086311795698,0.16765843696920416,0.1951416909444024,0.14448059670706465,0.07499285736365346,0.04552785779362216,0.02472464772824936,1
5174,0.010077362450832133,0.0020691497797173898,0.0030139337331431034,0.00531297437973155,0.0018461197236445861,0.0016356762495723482,0.005892327986871606,0.04446338755977994,0.08197755317033635,0.1415068592760933,0.1623769958885506,0.14930201532635873,0.15397234816290387,0.1197610911150904,0.13047542410976803,0.1274186148945413,0.17002019938469262,0.1558536297028489,0.1815316392903531,0.13932011324631496,0.10845498190033967,0.06348469617871977,0.03908751653286388,0.013006230550371894,1
5175,0.0029357263546654203,0.00018706825450458316,0.0015431311673038848,0.0020579942984725185,0.0,0.0006859980994908394,0.004081098667673544,0.025396685277175767,0.04893759531960999,0.07725088396885381,0.08273902589458776,0.08505219712754768,0.08474521510423315,0.06247285755511463,0.07298202144027911,0.07540919395085895,0.09735285598298093,0.09157930079973091,0.11471367236138645,0.07577122823483891,0.057651035871726486,0.03591383426303714,0.022728577516278874,0.005844973695781806,1
5176,3.079134964353847e-05,0.00028377979218255123,0.00026838411736078205,0.0,0.0,0.0,0.002162468613708026,0.01174449776896703,0.030736546325822404,0.03552062141487868,0.038908514568672295,0.04223640736543474,0.03661082484097463,0.027728078708399335,0.03730512923225717,0.038702932383969844,0.04919476471510921,0.0453064694889574,0.05821981093474876,0.043888100552697595,0.02971407485349058,0.02100108396741085,0.012479948574842395,0.0057283926432416385,0
5177,0.0006098044647456005,0.0005009174049212243,0.00026647610980264194,0.0,0.0,0.0,0.0022893917738570943,0.011283648526832174,0.029089986580200976,0.03399430528107017,0.03663771357133566,0.03847421589618295,0.03308101940740674,0.026325823558747817,0.034066820197632075,0.034235002587394064,0.042742956635944705,0.042238696794981705,0.05154701419503378,0.03929931201838168,0.027102838364084704,0.018328489516647593,0.011096639369210496,0.005631268925648591,0
5178,0.001399781693469404,0.00026701796696275193,0.0007454995480463995,0.0,5.845552198760487e-05,0.00011691104397520974,0.0033751476948257896,0.011289702316789213,0.02689507498859882,0.03017252757352785,0.04291054695769695,0.040464005959338814,0.03234343973416477,0.02632700043830866,0.03874940101840426,0.03504818349469821,0.040478933930705514,0.04487610482366726,0.0453796972396173,0.03272730033532896,0.02121198695854998,0.009488077973237367,0.006969246561963814,0.0027862788824850097,0
5179,0.0007756732606515361,0.00021126954301936676,0.0006359218403609785,0.0,5.455900131862198e-05,0.0001314019079540697,0.003461787953683461,0.010190224525434574,0.023676151241647816,0.027501073892766764,0.03688142942296145,0.03304885679007229,0.028112612666268192,0.024692667571149574,0.036775975169716944,0.03208433785513809,0.039829440207543115,0.04749152314254655,0.04268196081570784,0.029595461044746852,0.017037162218760015,0.007465125029548052,0.005905251185564849,0.0023933993372085194,1
5180,0.0014156847719700198,0.00020851443339058595,0.00039060767494805763,0.0,0.00016451701115893864,0.0005566267572585538,0.0020469344512923557,0.00736123075293304,0.01754597640727869,0.024832854166820278,0.028185850270893237,0.024730881669882555,0.023198475456447366,0.023374454978666314,0.03188054838375645,0.027228385694821836,0.031551598143070396,0.04244271652807154,0.035688116740735194,0.02314703279090808,0.013512070262724406,0.006695460806368735,0.003594408493453677,0.0030410014789466924,1
5181,0.0012183797513141577,9.939330732479546e-05,0.0003816651892842606,0.0,0.0001318292724715786,0.00039979571673554113,0.0020053276839791883,0.006260058741059447,0.016224437119453438,0.022695771534646383,0.026056648983744334,0.02418182765018239,0.021775699952895425,0.020724861293777406,0.029461216214009517,0.02409808375939338,0.02915390343465464,0.038607222616189756,0.03152711242103001,0.02078634163118732,0.011850216085189663,0.005680650471901677,0.0032136507219749978,0.002480782391039054,1
